001 Bangor, ME
002 Portland, ME
003 Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH-RI-VT
004 Burlington, VT-NY
005 Albany-Schenectady-Troy, NY
006 Syracuse, NY-PA
007 Rochester, NY-PA
008 Buffalo-Niagara Falls, NY-PA
009 State College, PA
010 New York-No. New Jersey-Long Island, NY-NJ-CT-PA-MA-VT
011 Harrisburg-Lebanon-Carlisle, PA
012 Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD
013 Washington-Baltimore, DC-MD-VA-WV-PA
014 Salisbury, MD-DE-VA
015 Richmond-Petersburg, VA
016 Staunton, VA-WV
017 Roanoke, VA-NC-WV
018 Greensboro-Winston-Salem-High Point, NC-VA
019 Raleigh-Durham-Chapel Hill, NC
020 Norfolk-Virginia Beach-Newport News, VA-NC
021 Greenville, NC
022 Fayetteville, NC
023 Charlotte-Gastonia-Rock Hill, NC-SC
024 Columbia, SC
025 Wilmington, NC-SC
026 Charleston-North Charleston, SC
027 Augusta-Aiken, GA-SC
028 Savannah, GA-SC
029 Jacksonville, FL-GA
030 Orlando, FL
031 Miami-Fort Lauderdale, FL
032 Fort Myers-Cape Coral, FL
033 Sarasota-Bradenton, FL
034 Tampa-St. Petersburg-Clearwater, FL
035 Tallahassee, FL-GA
036 Dothan, AL-FL-GA
037 Albany, GA
038 Macon, GA
039 Columbus, GA-AL
040 Atlanta, GA-AL-NC
041 Greenville-Spartanburg-Anderson, SC-NC
042 Asheville, NC
043 Chattanooga, TN-GA
044 Knoxville, TN
045 Johnson City-Kingsport-Bristol, TN-VA
046 Hickory-Morganton, NC-TN
047 Lexington, KY-TN-VA-WV
048 Charleston, WV-KY-OH
049 Cincinnati-Hamilton, OH-KY-IN
050 Dayton-Springfield, OH
051 Columbus, OH
052 Wheeling, WV-OH
053 Pittsburgh, PA-WV
054 Erie, PA
055 Cleveland-Akron, OH-PA
056 Toledo, OH
057 Detroit-Ann Arbor-Flint, MI
058 Northern Michigan, MI
059 Green Bay, WI-MI
060 Appleton-Oshkosh-Neenah, WI
061 Traverse City, MI
062 Grand Rapids-Muskegon-Holland, MI
063 Milwaukee-Racine, WI
064 Chicago-Gary-Kenosha, IL-IN-WI
065 Elkhart-Goshen, IN-MI
066 Fort Wayne, IN
067 Indianapolis, IN-IL
068 Champaign-Urbana, IL
069 Evansville-Henderson, IN-KY-IL
070 Louisville, KY-IN
071 Nashville, TN-KY
072 Paducah, KY-IL
073 Memphis, TN-AR-MS-KY
074 Huntsville, AL-TN
075 Tupelo, MS-AL-TN
076 Greenville, MS
077 Jackson, MS-AL-LA
078 Birmingham, AL
079 Montgomery, AL
080 Mobile, AL
081 Pensacola, FL
082 Biloxi-Gulfport-Pascagoula, MS
083 New Orleans, LA-MS
084 Baton Rouge, LA-MS
085 Lafayette, LA
086 Lake Charles, LA
087 Beaumont-Port Arthur, TX
088 Shreveport-Bossier City, LA-AR
089 Monroe, LA
090 Little Rock-North Little Rock, AR
091 Fort Smith, AR-OK
092 Fayetteville-Springdale-Rogers, AR-MO-OK
093 Joplin, MO-KS-OK
094 Springfield, MO
095 Jonesboro, AR-MO
096 St. Louis, MO-IL
097 Springfield, IL-MO
098 Columbia, MO
099 Kansas City, MO-KS
100 Des Moines, IA-IL-MO
101 Peoria-Pekin, IL
102 Davenport-Moline-Rock Island, IA-IL
103 Cedar Rapids, IA
104 Madison, WI-IL-IA
105 La Crosse, WI-MN
106 Rochester, MN-IA-WI
107 Minneapolis-St. Paul, MN-WI-IA
108 Wausau, WI
109 Duluth-Superior, MN-WI
110 Grand Forks, ND-MN
111 Minot, ND
112 Bismarck, ND-MT-SD
113 Fargo-Moorhead, ND-MN
114 Aberdeen, SD
115 Rapid City, SD-MT-NE-ND
116 Sioux Falls, SD-IA-MN-NE
117 Sioux City, IA-NE-SD
118 Omaha, NE-IA-MO
119 Lincoln, NE
120 Grand Island, NE
121 North Platte, NE-CO
122 Wichita, KS-OK
123 Topeka, KS
124 Tulsa, OK-KS
125 Oklahoma City, OK
126 Western Oklahoma, OK
127 Dallas-Fort Worth, TX-AR-OK
128 Abilene, TX
129 San Angelo, TX
130 Austin-San Marcos, TX
131 Houston-Galveston-Brazoria, TX
132 Corpus Christi, TX
133 McAllen-Edinburg-Mission, TX
134 San Antonio, TX
135 Odessa-Midland, TX
136 Hobbs, NM-TX
137 Lubbock, TX
138 Amarillo, TX-NM
139 Santa Fe, NM
140 Pueblo, CO-NM
141 Denver-Boulder-Greeley, CO-KS-NE
142 Scottsbluff, NE-WY
143 Casper, WY-ID-UT
144 Billings, MT-WY
145 Great Falls, MT
146 Missoula, MT
147 Spokane, WA-ID
148 Idaho Falls, ID-WY
149 Twin Falls, ID
150 Boise City, ID-OR
151 Reno, NV-CA
152 Salt Lake City-Ogden, UT-ID
153 Las Vegas, NV-AZ-UT
154 Flagstaff, AZ-UT
155 Farmington, NM-CO
156 Albuquerque, NM-AZ
157 El Paso, TX-NM
158 Phoenix-Mesa, AZ-NM
159 Tucson, AZ
160 Los Angeles-Riverside-Orange County, CA-AZ
161 San Diego, CA
162 Fresno, CA
163 San Francisco-Oakland-San Jose, CA
164 Sacramento-Yolo, CA
165 Redding, CA-OR
166 Eugene-Springfield, OR-CA
167 Portland-Salem, OR-WA
168 Pendleton, OR-WA
169 Richland-Kennewick-Pasco, WA
170 Seattle-Tacoma-Bremerton, WA
171 Anchorage, AK
172 Honolulu, HI
