FAFZONE,MESOZONE,CBPZONE,STATE,STATECODE,REGION,SUBREGION
11,151,1,Alabama,AL,South,East South Central
12,152,2,Alabama,AL,South,East South Central
19,153,3,Alabama,AL,South,East South Central
20,154,4,Alaska,AK,West,Pacific
41,155,5,Arizona,AZ,West,Mountain
42,156,6,Arizona,AZ,West,Mountain
49,157,7,Arizona,AZ,West,Mountain
50,158,8,Arkansas,AR,South,West South Central
61,159,9,California,CA,West,Pacific
62,160,10,California,CA,West,Pacific
63,161,11,California,CA,West,Pacific
64,162,12,California,CA,West,Pacific
69,163,13,California,CA,West,Pacific
81,164,14,Colorado,CO,West,Mountain
89,165,15,Colorado,CO,West,Mountain
91,166,16,Connecticut,CT,NorthEast,New England
92,167,17,Connecticut,CT,NorthEast,New England
99,168,18,Connecticut,CT,NorthEast,New England
100,169,19,Delaware,DE,South,South Atlantic
111,170,20,District of Columbia,DC,South,South Atlantic
121,171,21,Florida,FL,South,South Atlantic
122,172,22,Florida,FL,South,South Atlantic
123,173,23,Florida,FL,South,South Atlantic
124,174,24,Florida,FL,South,South Atlantic
129,175,25,Florida,FL,South,South Atlantic
131,176,26,Georgia,GA,South,South Atlantic
132,177,27,Georgia,GA,South,South Atlantic
139,178,28,Georgia,GA,South,South Atlantic
151,179,29,Hawaii,HI,West,Pacific
159,180,30,Hawaii,HI,West,Pacific
160,181,31,Idaho,ID,West,Mountain
171,1,17031,Illinois,IL,MidWest,East North Central
171,2,17031,Illinois,IL,MidWest,East North Central
171,3,17031,Illinois,IL,MidWest,East North Central
171,4,17031,Illinois,IL,MidWest,East North Central
171,5,17031,Illinois,IL,MidWest,East North Central
171,6,17031,Illinois,IL,MidWest,East North Central
171,7,17031,Illinois,IL,MidWest,East North Central
171,8,17031,Illinois,IL,MidWest,East North Central
171,9,17031,Illinois,IL,MidWest,East North Central
171,10,17031,Illinois,IL,MidWest,East North Central
171,11,17031,Illinois,IL,MidWest,East North Central
171,12,17031,Illinois,IL,MidWest,East North Central
171,13,17031,Illinois,IL,MidWest,East North Central
171,14,17031,Illinois,IL,MidWest,East North Central
171,15,17031,Illinois,IL,MidWest,East North Central
171,16,17031,Illinois,IL,MidWest,East North Central
171,17,17031,Illinois,IL,MidWest,East North Central
171,18,17031,Illinois,IL,MidWest,East North Central
171,19,17031,Illinois,IL,MidWest,East North Central
171,20,17031,Illinois,IL,MidWest,East North Central
171,21,17031,Illinois,IL,MidWest,East North Central
171,22,17031,Illinois,IL,MidWest,East North Central
171,23,17031,Illinois,IL,MidWest,East North Central
171,24,17031,Illinois,IL,MidWest,East North Central
171,25,17031,Illinois,IL,MidWest,East North Central
171,26,17031,Illinois,IL,MidWest,East North Central
171,27,17031,Illinois,IL,MidWest,East North Central
171,28,17031,Illinois,IL,MidWest,East North Central
171,29,17031,Illinois,IL,MidWest,East North Central
171,30,17111,Illinois,IL,MidWest,East North Central
171,31,17111,Illinois,IL,MidWest,East North Central
171,32,17111,Illinois,IL,MidWest,East North Central
171,33,17111,Illinois,IL,MidWest,East North Central
171,34,17111,Illinois,IL,MidWest,East North Central
171,35,17111,Illinois,IL,MidWest,East North Central
171,36,17111,Illinois,IL,MidWest,East North Central
171,37,17111,Illinois,IL,MidWest,East North Central
171,38,17111,Illinois,IL,MidWest,East North Central
171,39,17111,Illinois,IL,MidWest,East North Central
171,40,17111,Illinois,IL,MidWest,East North Central
171,41,17111,Illinois,IL,MidWest,East North Central
171,42,17111,Illinois,IL,MidWest,East North Central
171,43,17111,Illinois,IL,MidWest,East North Central
171,44,17111,Illinois,IL,MidWest,East North Central
171,45,17111,Illinois,IL,MidWest,East North Central
171,46,17097,Illinois,IL,MidWest,East North Central
171,47,17097,Illinois,IL,MidWest,East North Central
171,48,17097,Illinois,IL,MidWest,East North Central
171,49,17097,Illinois,IL,MidWest,East North Central
171,50,17097,Illinois,IL,MidWest,East North Central
171,51,17097,Illinois,IL,MidWest,East North Central
171,52,17097,Illinois,IL,MidWest,East North Central
171,53,17097,Illinois,IL,MidWest,East North Central
171,54,17097,Illinois,IL,MidWest,East North Central
171,55,17097,Illinois,IL,MidWest,East North Central
171,56,17097,Illinois,IL,MidWest,East North Central
