stop_zone,x_coord,y_coord
1,130.075,360.881
2,130.407,360.697
3,130.735,360.705
4,130.971,360.895
5,131.241,360.768
6,131.454,360.909
7,131.736,360.686
8,130.088,360.527
9,130.464,360.537
10,130.73,360.514
11,130.96,360.512
12,131.211,360.501
13,131.447,360.578
14,130.264,360.25
15,130.37,360.183
16,130.725,360.279
17,130.932,360.258
18,131.221,360.272
19,131.468,360.299
20,130.237,360.044
21,130.448,359.971
22,130.668,359.996
23,130.909,360.017
24,131.191,360.07
25,131.465,360.109
26,130.266,359.779
27,130.461,359.785
28,130.69,359.79
29,130.94,359.794
30,131.182,359.857
31,131.475,359.684
32,130.279,359.613
33,130.465,359.574
34,130.725,359.576
35,130.947,359.585
36,131.174,359.595
37,130.292,359.231
38,130.52,359.237
39,130.784,359.364
40,131.011,359.268
41,131.249,359.311
42,131.505,358.931
43,130.268,358.938
44,130.502,358.916
45,130.854,358.928
46,131.094,358.924
47,131.257,359.027
48,129.313,361.403
49,129.999,361.814
50,130.298,361.609
51,130.815,361.448
52,131.207,361.457
53,129.342,361.115
54,129.621,360.948
55,130.31,360.929
56,131.022,361.2
57,131.24,361.1
58,129.445,360.528
59,129.662,360.782
60,129.564,360.125
61,129.984,360.072
62,129.552,359.692
63,129.872,359.695
64,129.572,359.04
65,130.084,359.07
66,129.141,358.367
67,129.643,358.603
68,130.421,358.58
69,131.117,358.435
70,131.314,358.671
71,131.78,358.738
72,129.394,358.133
73,129.64,358.342
74,130.303,358.123
75,130.887,358.028
76,131.363,358.23
77,131.656,358.201
78,128.464,362.61
79,128.762,362.593
80,129.253,362.597
81,129.752,362.62
82,130.217,362.677
83,130.599,362.646
84,128.485,361.866
85,128.992,361.892
86,129.097,362.256
87,129.749,362.103
88,130.261,361.935
89,130.783,362.063
90,128.509,361.375
91,129.002,361.42
92,128.046,361.319
93,128.561,361.117
94,128.527,360.517
95,129.029,360.528
96,128.539,360.12
97,129.042,360.136
98,128.518,359.5
99,128.864,359.616
100,128.482,359.148
101,129.067,359.19
102,128.572,358.825
103,129.092,358.826
104,128.594,358.195
105,129.103,357.989
106,128.605,357.584
107,128.858,357.705
108,129.373,357.831
109,130.118,357.404
110,130.53,357.582
111,130.881,357.608
112,131.409,357.634
113,131.655,357.618
114,128.158,357.305
115,129.129,357.073
116,129.562,357.096
117,129.905,356.892
118,130.404,356.903
119,130.898,357.057
120,131.334,357.378
121,131.943,356.937
122,114.969,368.125
123,116.53,368.549
124,117.333,368.27
125,116.751,366.343
126,117.738,366.326
127,117.767,367.325
128,118.544,366.352
129,116.172,364.834
130,117.75,364.821
131,120.391,367.011
132,119.798,366.678
133,118.926,366.35
134,120.291,366.205
135,120.253,366.561
136,119.794,366.145
137,119.24,364.783
138,120.287,365.203
139,119.295,364.246
140,120.325,364.186
141,121.79,369.201
142,121.172,368.798
143,121.745,367.851
144,121.065,367.795
145,121.109,368.371
146,121.791,368.776
147,120.985,366.928
148,121.313,366.872
149,121.792,367.759
150,121.039,367.509
151,121.196,366.198
152,121.385,364.171
153,121.411,363.681
154,121.833,367.849
155,122.761,367.829
156,123.524,368.063
157,122.964,368.516
158,123.234,368.22
159,123.537,368.799
160,123.937,367.842
161,127.782,369.357
162,127.293,368.879
163,128.554,369.166
164,127.814,368.902
165,128.591,369.536
166,128.945,369.351
167,127.796,368.398
168,127.345,367.879
169,126.855,368.823
170,126.851,367.858
171,128.672,368.38
172,128.156,368.858
173,127.853,367.888
174,128.647,368.6
175,128.841,367.924
176,129.38,368.572
177,128.852,368.896
178,129.343,367.945
179,122.09,366.832
180,122.185,367.473
181,122.782,367.765
182,122.77,367.03
183,123.325,367.088
184,123.007,367.536
185,123.322,367.324
186,123.079,366.847
187,124.571,367.416
188,123.825,366.966
189,124.028,367.731
190,124.752,367.295
191,125.809,367.346
192,124.841,367.292
193,124.833,367.798
194,125.827,366.849
195,125.842,367.81
196,126.578,367.612
197,126.32,367.326
198,126.834,366.87
199,126.946,367.385
200,127.364,367.384
201,127.327,367.042
202,127.838,366.89
203,122.375,366.498
204,123.165,366.592
205,123.358,365.789
206,123.493,366.796
207,123.262,366.136
208,124.642,366.276
209,124.809,366.634
210,123.935,366.198
211,123.996,366.805
212,125.241,365.836
213,124.983,366.318
214,125.373,366.296
215,126.594,366.825
216,125.885,366.356
217,126.622,366.317
218,125.894,365.846
219,127.688,366.345
220,127.348,366.378
221,126.902,365.868
222,127.572,366.838
223,122.856,364.771
224,122.268,365.12
225,123.383,365.276
226,123.884,365.259
227,124.182,365.759
228,124.392,365.27
229,124.853,365.314
230,125.003,365.557
231,125.331,365.039
232,125.505,365.6
233,125.873,365.21
234,126.623,365.814
235,126.372,365.313
236,126.36,365.816
237,126.666,364.867
238,127.872,365.722
239,127.163,365.826
240,127.894,365.338
241,127.395,364.872
242,122.368,364.248
243,121.856,363.732
244,122.398,364.728
245,122.882,363.759
246,123.354,364.738
247,123.875,364.245
248,123.86,364.751
249,123.373,364.233
250,124.901,363.808
251,124.365,364.762
252,124.873,364.772
253,124.393,363.795
254,125.657,364.782
255,124.928,364.271
256,125.319,364.44
257,125.905,363.967
258,126.314,364.811
259,126.11,363.846
260,126.675,364.079
261,126.684,364.55
262,127.905,364.835
263,127.929,363.874
264,126.95,364.359
265,127.199,364.068
266,122.771,362.753
267,122.903,363.252
268,121.873,363.233
269,122.4,363.202
270,123.452,363.254
271,124.423,363.246
272,125.484,362.81
273,124.957,363.306
274,125.453,363.785
275,125.424,363.277
276,125.968,363.33
277,126.449,362.838
278,126.693,363.356
279,126.927,363.127
280,127.189,363.081
281,127.182,363.564
282,127.959,362.867
283,127.634,363.372
284,122.919,362.64
285,122.943,361.738
286,122.428,361.73
287,122.414,362.702
288,123.931,362.409
289,123.074,361.746
290,123.479,361.752
291,123.42,362.514
292,124.939,362.76
293,124.497,361.777
294,123.983,361.767
295,124.447,362.294
296,125.455,362.307
297,125.539,361.809
298,125.004,362.062
299,125.957,362.318
300,126.237,361.835
301,126.743,362.346
302,125.986,362.787
303,126.74,361.843
304,127.504,362.695
305,127.251,362.301
306,127.916,362.32
307,127.23,362.805
308,128.839,367.178
309,128.59,367.519
310,127.861,367.396
311,129.388,367.055
312,129.372,367.66
313,129.222,367.035
314,128.868,367.424
315,127.912,366.001
316,128.87,365.911
317,128.392,366.86
318,128.353,366.399
319,129.413,365.926
320,128.933,366.875
321,128.961,366.378
322,129.925,365.948
323,129.4,366.433
324,128.155,365.341
325,128.899,364.904
326,128.886,365.408
327,128.369,365.862
328,129.061,365.646
329,129.664,365.332
330,129.627,365.677
331,129.14,365.105
332,130.045,365.397
333,128.689,364.349
334,128.419,364.345
335,127.954,364.376
336,128.442,364.855
337,129.678,364.753
338,129.72,364.203
339,129.426,363.912
340,129.175,364.417
341,130.062,364.391
342,129.951,364.678
343,128.109,363.214
344,128.428,363.846
345,128.929,363.857
346,128.907,362.896
347,129.199,363.408
348,129.927,363.764
349,129.239,362.908
350,129.735,363.173
351,130.533,363.799
352,130.203,363.885
353,130.656,362.942
354,130.188,363.387
355,123.492,361.219
356,124.456,360.993
357,124.459,361.28
358,124.962,361.021
359,124.964,361.293
360,125.964,361.541
361,125.479,361.263
362,124.994,361.752
363,125.977,361.035
364,126.254,361.435
365,126.755,361.341
366,126.775,360.84
367,126.481,361.06
368,127.989,361.822
369,127.252,361.297
370,127.257,361.799
371,127.547,361.085
372,123.52,360.291
373,123.989,359.884
374,124.008,360.727
375,124.487,360.203
376,124.511,360.736
377,124.549,359.896
378,126.003,360.105
379,125.527,360.761
380,125.263,360.747
381,125.376,360.135
382,126.267,360.774
383,126.811,360.048
384,126.276,360.07
385,126.774,360.46
386,127.307,360.054
387,128.016,360.818
388,128.033,360.055
389,127.233,360.796
390,124.03,358.739
391,123.542,359.713
392,124.069,359.061
393,124.881,359.084
394,124.564,359.497
395,124.058,359.479
396,125.529,359.068
397,126.059,358.803
398,125.065,359.497
399,125.571,359.527
400,126.783,359.574
401,126.851,359.276
402,126.079,359.546
403,126.326,359.263
404,127.536,359.573
405,127.308,359.284
406,128.041,359.584
407,128.057,359.309
408,125.082,358.732
409,125.592,358.748
410,125.566,358.244
411,126.072,358.254
412,126.334,358.759
413,126.183,357.793
414,126.844,358.535
415,126.84,358.075
416,127.133,357.809
417,127.591,358.789
418,127.117,358.53
419,127.731,358.286
420,125.638,357.502
421,125.147,356.762
422,126.098,357.248
423,125.233,357.293
424,126.599,357.298
425,127.102,357.314
426,126.856,357.266
427,126.149,356.782
428,127.656,356.835
429,127.593,357.522
430,127.635,357.787
431,127.603,357.299
432,125.631,356.722
433,126.612,356.759
434,126.911,356.768
435,126.178,355.841
436,127.138,356.186
437,127.165,356.781
438,128.148,356.346
439,127.916,355.835
440,127.639,356.281
441,128.688,356.31
442,128.53,356.302
443,129.157,356.367
444,128.634,356.758
445,129.176,356.823
446,129.199,355.856
447,129.696,356.337
448,129.903,356.385
449,130.43,355.899
450,131.163,356.418
451,130.418,356.401
452,130.909,356.205
453,131.445,355.925
454,132.32,355.958
455,131.432,356.883
456,131.688,356.39
457,131.985,356.437
458,132.204,356.771
459,126.159,354.773
460,127.163,355.261
461,126.647,354.787
462,126.19,355.279
463,127.15,355.758
464,127.705,355.599
465,127.307,355.312
466,127.204,355.175
467,127.721,354.816
468,122.169,354.069
469,123.709,353.704
470,123.661,353.812
471,124.209,353.894
472,125.17,354.105
473,125.156,354.715
474,125.689,353.758
475,125.832,354.275
476,126.195,353.767
477,125.659,354.726
478,127.207,353.795
479,126.222,354.38
480,127.183,354.758
481,126.22,354.23
482,127.749,353.812
483,127.693,354.311
484,127.232,354.258
485,128.197,354.33
486,123.163,353.649
487,122.24,352.38
488,122.183,353.609
489,122.227,352.762
490,123.202,352.405
491,123.199,352.671
492,123.727,352.699
493,123.731,352.445
494,125.196,353.405
495,124.265,352.445
496,125.219,352.695
