Industry_NAICS6_Make,Industry_NAICS6_Make_desc,Industry_NAICS6_CBP,Industry_NAICS6_CBP_desc,Commodity_SCTG,Commodity_SCTG_desc,Proportion
1111A0,Oilseed farming,111110,Soybean Farming,3,Other ag prods.,1
1111A0,Oilseed farming,111120,Oilseed (except Soybean) Farming,3,Other ag prods.,1
1111B0,Grain farming,111130,Dry Pea and Bean Farming,2,Cereal grains,1
1111B0,Grain farming,111140,Wheat Farming,2,Cereal grains,1
1111B0,Grain farming,111150,Corn Farming,2,Cereal grains,1
1111B0,Grain farming,111160,Rice Farming,2,Cereal grains,1
1111B0,Grain farming,111191,Oilseed and Grain Combination Farming,2,Cereal grains,1
1111B0,Grain farming,111199,All Other Grain Farming,2,Cereal grains,1
111200,Vegetable and melon farming,111211,Potato Farming,3,Other ag prods.,1
111200,Vegetable and melon farming,111219,Other Vegetable (except Potato) and Melon Farming,3,Other ag prods.,1
111300,Fruit and tree nut farming,111310,Orange Groves,3,Other ag prods.,1
111300,Fruit and tree nut farming,111320,Citrus (except Orange) Groves,3,Other ag prods.,1
111300,Fruit and tree nut farming,111331,Apple Orchards,3,Other ag prods.,1
111300,Fruit and tree nut farming,111332,Grape Vineyards,3,Other ag prods.,1
111300,Fruit and tree nut farming,111333,Strawberry Farming,3,Other ag prods.,1
111300,Fruit and tree nut farming,111334,Berry (except Strawberry) Farming,3,Other ag prods.,1
111300,Fruit and tree nut farming,111335,Tree Nut Farming,3,Other ag prods.,1
111300,Fruit and tree nut farming,111336,Fruit and Tree Nut Combination Farming,3,Other ag prods.,1
111300,Fruit and tree nut farming,111339,Other Noncitrus Fruit Farming,3,Other ag prods.,1
111400,"Greenhouse, nursery, and floriculture production",111411,Mushroom Production,3,Other ag prods.,1
111400,"Greenhouse, nursery, and floriculture production",111419,Other Food Crops Grown Under Cover,3,Other ag prods.,1
111400,"Greenhouse, nursery, and floriculture production",111421,Nursery and Tree Production,3,Other ag prods.,1
111400,"Greenhouse, nursery, and floriculture production",111422,Floriculture Production,3,Other ag prods.,1
111900,Other crop farming,111910,Tobacco Farming,3,Other ag prods.,1
111900,Other crop farming,111920,Cotton Farming,3,Other ag prods.,1
111900,Other crop farming,111930,Sugarcane Farming,3,Other ag prods.,1
111900,Other crop farming,111940,Hay Farming,3,Other ag prods.,1
111900,Other crop farming,111991,Sugar Beet Farming,3,Other ag prods.,1
111900,Other crop farming,111992,Peanut Farming,3,Other ag prods.,1
111900,Other crop farming,111998,All Other Miscellaneous Crop Farming,3,Other ag prods.,1
112120,Dairy cattle and milk production,112120,Dairy Cattle and Milk Production,1,Live animals/fish,1
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",112111,Beef Cattle Ranching and Farming,1,Live animals/fish,1
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",112112,Cattle Feedlots,1,Live animals/fish,1
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",112130,Dual-Purpose Cattle Ranching and Farming,1,Live animals/fish,1
112300,Poultry and egg production,112310,Chicken Egg Production,1,Live animals/fish,1
112300,Poultry and egg production,112320,Broilers and Other Meat Type Chicken Production,1,Live animals/fish,1
112300,Poultry and egg production,112330,Turkey Production,1,Live animals/fish,1
112300,Poultry and egg production,112340,Poultry Hatcheries,1,Live animals/fish,1
112300,Poultry and egg production,112390,Other Poultry Production,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112210,Hog and Pig Farming,1,Live animals/fish,1
