Commodity_SCTG,Commodity_SCTG_desc_short,Commodity_SCTG_desc_long,Category,Category2,Commodity_SCTG_Group,Commodity_SCTG_Group_desc,Commodity_SCTG_Group_range,Commodity_SCTG_Group_label
1,Live animals/fish,Live animals and live fish,Animals,Functional/Innovative,1,Agricultural Prod.,1-5,Agricultural Prod. (1-5)
2,Cereal grains,Cereal grains,Bulk natural resource (BNR),Functional,1,Agricultural Prod.,1-5,Agricultural Prod. (1-5)
3,Other ag prods.,Other agricultural products,Bulk natural resource (BNR),Functional/Innovative,1,Agricultural Prod.,1-5,Agricultural Prod. (1-5)
4,Animal feed,"Animal feed and products of animal origin, n.e.c.",Intermediate processed goods (IPG),Functional,1,Agricultural Prod.,1-5,Agricultural Prod. (1-5)
5,Meat/seafood,"Meat, fish, seafood, and their preparations",Finished goods (FG),Functional/Innovative,1,Agricultural Prod.,1-5,Agricultural Prod. (1-5)
6,Milled grain prods.,"Milled grain products and preparations, bakery products",Finished goods (FG),Functional,2,Processed Food,6-9,Processed Food (6-9)
7,Other foodstuffs,Other prepared foodstuffs and fats and oils,Finished goods (FG),Functional,2,Processed Food,6-9,Processed Food (6-9)
8,Alcoholic beverages,Alcoholic beverages,Finished goods (FG),Functional,2,Processed Food,6-9,Processed Food (6-9)
9,Tobacco prods.,Tobacco products,Finished goods (FG),Functional,2,Processed Food,6-9,Processed Food (6-9)
10,Building stone,Monumental or building stone,Bulk natural resource (BNR),Functional,3,"Stone, Minerals, and Ore",10-14,"Stone, Minerals, and Ore (10-14)"
11,Natural sands,Natural sands,Bulk natural resource (BNR),Functional,3,"Stone, Minerals, and Ore",10-14,"Stone, Minerals, and Ore (10-14)"
12,Gravel,Gravel and crushed stone,Bulk natural resource (BNR),Functional,3,"Stone, Minerals, and Ore",10-14,"Stone, Minerals, and Ore (10-14)"
13,Nonmetallic minerals,Nonmetallic minerals n.e.c.,Bulk natural resource (BNR),Functional,3,"Stone, Minerals, and Ore",10-14,"Stone, Minerals, and Ore (10-14)"
14,Metallic ores,Metallic ores and concentrates,Bulk natural resource (BNR),Functional,3,"Stone, Minerals, and Ore",10-14,"Stone, Minerals, and Ore (10-14)"
