Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
113110,11,1,27,4,0,0,0,0,0,0,0,0
113110,12,2,45,14,10,0,0,0,0,0,0,0
113110,19,3,127,19,0,0,0,0,0,0,0,0
113110,50,8,9,4,3,0,0,0,0,0,0,0
113110,69,13,192,3,0,0,0,0,0,0,0,0
113110,121,21,11,4,3,0,0,0,0,0,0,0
113110,139,28,50,13,3,0,0,0,0,0,0,0
113110,229,46,52,16,4,0,0,0,0,0,0,0
113110,230,47,33,3,0,0,0,0,0,0,0,0
113110,269,55,35,7,0,0,0,0,0,0,0,0
113110,280,58,235,4,0,0,0,0,0,0,0,0
113110,419,90,45,11,6,0,0,0,0,0,0,0
113110,429,93,5,5,3,0,0,0,0,0,0,0
113110,451,95,4,4,3,0,0,0,0,0,0,0
113110,452,96,17,4,0,0,0,0,0,0,0,0
113110,459,97,43,14,6,0,0,0,0,0,0,0
113110,489,110,11,5,3,0,0,0,0,0,0,0
113110,519,117,162,10,0,0,0,0,0,0,0,0
113110,531,118,34,3,0,0,0,0,0,0,0,0
113110,539,119,11,3,0,0,0,0,0,0,0,0
113210,69,13,62,3,0,0,0,0,0,0,0,0
113210,459,97,8,4,0,0,0,0,0,0,0,0
113310,11,1,254,54,34,0,0,0,0,0,0,0
113310,12,2,134,18,12,0,0,0,0,0,0,0
113310,19,3,4239,541,329,3,0,0,0,0,0,0
113310,20,4,132,13,4,0,0,0,0,0,0,0
113310,49,7,70,11,3,0,0,0,0,0,0,0
113310,50,8,2449,403,243,6,0,0,0,0,0,0
113310,61,9,15,3,0,0,0,0,0,0,0,0
113310,62,10,264,29,20,0,0,0,0,0,0,0
113310,64,12,42,15,14,0,0,0,0,0,0,0
113310,69,13,1416,195,143,5,0,0,0,0,0,0
113310,89,15,66,21,9,0,0,0,0,0,0,0
113310,121,21,329,38,24,0,0,0,0,0,0,0
113310,123,23,34,5,0,0,0,0,0,0,0,0
113310,129,25,1266,126,28,5,0,0,0,0,0,0
113310,131,26,342,45,6,0,0,0,0,0,0,0
113310,132,27,135,30,14,0,0,0,0,0,0,0
113310,139,28,5103,583,180,0,0,0,0,0,0,0
113310,160,31,1663,307,195,0,0,0,0,0,0,0
113310,179,34,12,8,3,0,0,0,0,0,0,0
113310,189,37,312,85,19,0,0,0,0,0,0,0
113310,190,38,75,30,9,0,0,0,0,0,0,0
113310,219,42,79,24,6,0,0,0,0,0,0,0
113310,221,43,92,14,4,0,0,0,0,0,0,0
113310,229,46,2628,332,176,6,0,0,0,0,0,0
113310,230,47,2163,408,346,12,0,0,0,0,0,0
113310,241,48,7,5,3,0,0,0,0,0,0,0
113310,242,49,55,9,4,0,0,0,0,0,0,0
113310,249,50,339,38,19,0,0,0,0,0,0,0
113310,251,51,36,13,9,0,0,0,0,0,0,0
113310,259,52,70,22,12,0,0,0,0,0,0,0
113310,261,53,44,17,7,0,0,0,0,0,0,0
113310,262,54,75,23,6,0,0,0,0,0,0,0
113310,269,55,2427,403,186,6,0,0,0,0,0,0
113310,271,56,32,8,3,0,0,0,0,0,0,0
113310,279,57,1855,239,99,0,0,0,0,0,0,0
113310,280,58,3473,481,239,4,0,0,0,0,0,0
113310,291,59,0,12,4,0,0,0,0,0,0,0
113310,292,60,8,9,3,0,0,0,0,0,0,0
113310,299,61,211,99,28,0,0,0,0,0,0,0
113310,300,62,780,187,115,0,0,0,0,0,0,0
113310,330,66,402,82,55,0,0,0,0,0,0,0
113310,350,70,29,15,6,0,0,0,0,0,0,0
113310,361,71,127,38,25,0,0,0,0,0,0,0
113310,362,72,34,11,6,0,0,0,0,0,0,0
113310,364,74,22,5,3,0,0,0,0,0,0,0
113310,369,75,641,156,93,0,0,0,0,0,0,0
113310,371,76,311,59,26,0,0,0,0,0,0,0
113310,372,77,228,36,12,0,0,0,0,0,0,0
113310,373,78,251,55,24,0,0,0,0,0,0,0
113310,379,79,2793,430,206,0,0,0,0,0,0,0
113310,392,82,94,13,3,0,0,0,0,0,0,0
113310,393,83,75,19,6,0,0,0,0,0,0,0
113310,399,85,302,86,29,0,0,0,0,0,0,0
113310,409,88,569,77,27,0,0,0,0,0,0,0
113310,411,89,614,79,54,0,0,0,0,0,0,0
113310,419,90,5255,584,430,41,0,0,0,0,0,0
113310,421,91,37,11,6,0,0,0,0,0,0,0
113310,429,93,994,271,134,0,0,0,0,0,0,0
113310,451,95,70,14,4,0,0,0,0,0,0,0
113310,452,96,255,62,36,0,0,0,0,0,0,0
113310,459,97,2427,287,139,0,0,0,0,0,0,0
113310,460,98,208,62,12,0,0,0,0,0,0,0
113310,472,100,41,10,3,0,0,0,0,0,0,0
113310,479,101,619,133,24,0,0,0,0,0,0,0
113310,482,103,55,5,0,0,0,0,0,0,0,0
113310,486,107,120,25,13,0,0,0,0,0,0,0
113310,489,110,1885,249,103,0,0,0,0,0,0,0
113310,500,113,325,99,63,0,0,0,0,0,0,0
113310,511,114,459,66,17,0,0,0,0,0,0,0
113310,513,116,25,5,0,0,0,0,0,0,0,0
113310,519,117,2414,339,148,4,0,0,0,0,0,0
113310,531,118,914,119,85,5,0,0,0,0,0,0
113310,539,119,2719,332,252,19,0,0,0,0,0,0
113310,540,120,731,213,136,0,0,0,0,0,0,0
113310,559,122,758,317,168,0,0,0,0,0,0,0
113310,560,123,75,22,3,0,0,0,0,0,0,0
114111,20,4,498,416,372,0,0,0,0,0,0,0
114111,61,9,69,28,23,0,0,0,0,0,0,0
114111,62,10,8,3,3,0,0,0,0,0,0,0
114111,63,11,63,28,25,0,0,0,0,0,0,0
114111,64,12,5,3,3,0,0,0,0,0,0,0
114111,69,13,55,33,26,0,0,0,0,0,0,0
114111,100,19,10,9,6,0,0,0,0,0,0,0
114111,122,22,32,30,22,0,0,0,0,0,0,0
114111,123,23,13,5,3,0,0,0,0,0,0,0
114111,124,24,24,18,10,0,0,0,0,0,0,0
