Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
111110,11,1,125,42,41,1,0,0,0,0,0,0
111130,11,1,162,58,58,0,0,0,0,0,0,0
111211,11,1,351,165,163,2,0,0,0,0,0,0
111310,11,1,362,205,203,2,0,0,0,0,0,0
111411,11,1,1164,121,102,15,4,0,0,0,0,0
111920,11,1,46,15,15,0,0,0,0,0,0,0
111930,11,1,1804,983,968,13,2,0,0,0,0,0
112111,11,1,3651,2008,1994,12,1,1,0,0,0,0
112120,11,1,8,6,6,0,0,0,0,0,0,0
112210,11,1,106,43,42,1,0,0,0,0,0,0
112310,11,1,1456,599,599,0,0,0,0,0,0,0
112410,11,1,407,224,222,2,0,0,0,0,0,0
112511,11,1,1650,590,580,6,4,0,0,0,0,0
111110,12,2,32,15,15,0,0,0,0,0,0,0
111130,12,2,74,28,28,0,0,0,0,0,0,0
111211,12,2,143,78,77,1,0,0,0,0,0,0
111310,12,2,477,204,200,4,0,0,0,0,0,0
111411,12,2,1223,139,120,14,5,0,0,0,0,0
111920,12,2,23,9,9,0,0,0,0,0,0,0
111930,12,2,664,275,269,4,2,0,0,0,0,0
112111,12,2,745,478,476,2,0,0,0,0,0,0
112120,12,2,13,1,1,0,0,0,0,0,0,0
112210,12,2,32,6,5,1,0,0,0,0,0,0
112310,12,2,224,90,90,0,0,0,0,0,0,0
112410,12,2,116,50,49,1,0,0,0,0,0,0
112511,12,2,427,137,132,4,1,0,0,0,0,0
111110,19,3,877,481,479,2,0,0,0,0,0,0
111130,19,3,1358,678,671,7,0,0,0,0,0,0
111211,19,3,2164,742,723,16,3,0,0,0,0,0
111310,19,3,2228,998,988,8,2,0,0,0,0,0
111411,19,3,3014,472,429,37,6,0,0,0,0,0
111920,19,3,942,413,411,2,0,0,0,0,0,0
111930,19,3,14611,7716,7588,111,17,0,0,0,0,0
112111,19,3,21889,12613,12524,81,4,4,0,0,0,0
112120,19,3,74,26,26,0,0,0,0,0,0,0
112210,19,3,295,135,132,3,0,0,0,0,0,0
112310,19,3,6278,2675,2675,0,0,0,0,0,0,0
112410,19,3,2112,1215,1208,7,0,0,0,0,0,0
112511,19,3,5352,2629,2594,25,10,0,0,0,0,0
111110,20,4,1,1,1,0,0,0,0,0,0,0
111130,20,4,1,1,1,0,0,0,0,0,0,0
111211,20,4,450,167,165,1,1,0,0,0,0,0
111310,20,4,61,52,52,0,0,0,0,0,0,0
111411,20,4,1127,329,322,6,0,1,0,0,0,0
111930,20,4,527,224,224,0,0,0,0,0,0,0
112111,20,4,168,78,76,2,0,0,0,0,0,0
112112,20,4,1,1,1,0,0,0,0,0,0,0
112120,20,4,12,7,7,0,0,0,0,0,0,0
112210,20,4,47,19,19,0,0,0,0,0,0,0
112310,20,4,108,68,67,1,0,0,0,0,0,0
112410,20,4,78,41,41,0,0,0,0,0,0,0
112511,20,4,946,185,171,12,2,0,0,0,0,0
111110,41,5,140,32,29,3,0,0,0,0,0,0
111130,41,5,147,45,43,2,0,0,0,0,0,0
111211,41,5,1175,66,56,1,9,0,0,0,0,0
111310,41,5,911,196,183,12,1,0,0,0,0,0
111411,41,5,1015,97,78,19,0,0,0,0,0,0
111920,41,5,481,67,60,7,0,0,0,0,0,0
111930,41,5,1125,354,333,21,0,0,0,0,0,0
112111,41,5,560,330,327,3,0,0,0,0,0,0
112112,41,5,5,5,5,0,0,0,0,0,0,0
112120,41,5,1509,48,20,28,0,0,0,0,0,0
112210,41,5,26,20,20,0,0,0,0,0,0,0
112310,41,5,126,111,111,0,0,0,0,0,0,0
112410,41,5,99,82,82,0,0,0,0,0,0,0
112511,41,5,1413,792,785,6,1,0,0,0,0,0
111110,42,6,1,1,1,0,0,0,0,0,0,0
111130,42,6,6,2,2,0,0,0,0,0,0,0
111211,42,6,35,31,31,0,0,0,0,0,0,0
111310,42,6,296,25,23,0,2,0,0,0,0,0
111411,42,6,184,30,27,3,0,0,0,0,0,0
111920,42,6,19,5,5,0,0,0,0,0,0,0
111930,42,6,140,40,38,2,0,0,0,0,0,0
112111,42,6,233,98,95,3,0,0,0,0,0,0
112120,42,6,108,2,0,2,0,0,0,0,0,0
112210,42,6,6,6,6,0,0,0,0,0,0,0
112310,42,6,35,34,34,0,0,0,0,0,0,0
112410,42,6,37,27,27,0,0,0,0,0,0,0
112511,42,6,295,177,176,1,0,0,0,0,0,0
111110,49,7,184,83,81,2,0,0,0,0,0,0
111130,49,7,287,115,109,6,0,0,0,0,0,0
111211,49,7,5756,789,740,13,36,0,0,0,0,0
111310,49,7,2540,605,579,19,7,0,0,0,0,0
111411,49,7,1252,103,77,26,0,0,0,0,0,0
111920,49,7,262,34,29,5,0,0,0,0,0,0
111930,49,7,3903,955,880,75,0,0,0,0,0,0
112111,49,7,8285,4133,4081,48,3,1,0,0,0,0
112112,49,7,30,15,15,0,0,0,0,0,0,0
112120,49,7,474,18,9,9,0,0,0,0,0,0
112210,49,7,124,57,56,1,0,0,0,0,0,0
112310,49,7,1136,160,158,0,0,2,0,0,0,0
112410,49,7,6087,4809,4802,7,0,0,0,0,0,0
112511,49,7,4236,2111,2097,11,1,1,1,0,0,0
111110,50,8,4798,1304,1302,2,0,0,0,0,0,0
111130,50,8,6906,1867,1866,1,0,0,0,0,0,0
111211,50,8,2393,745,724,14,7,0,0,0,0,0
111310,50,8,1535,574,557,16,1,0,0,0,0,0
111411,50,8,1123,239,222,15,2,0,0,0,0,0
111920,50,8,1056,292,292,0,0,0,0,0,0,0
111930,50,8,11524,7081,7059,17,3,2,0,0,0,0
112111,50,8,30974,17790,17658,122,10,0,0,0,0,0
112120,50,8,195,39,39,0,0,0,0,0,0,0
112210,50,8,892,249,232,17,0,0,0,0,0,0
112310,50,8,8052,3420,3420,0,0,0,0,0,0,0
112410,50,8,2359,1362,1354,8,0,0,0,0,0,0
112511,50,8,6828,3085,3037,37,9,2,0,0,0,0
111110,61,9,60,11,10,1,0,0,0,0,0,0
111130,61,9,11,3,3,0,0,0,0,0,0,0
111211,61,9,6657,300,204,96,0,0,0,0,0,0
111310,61,9,23743,3050,2670,380,0,0,0,0,0,0
111411,61,9,7884,672,576,63,33,0,0,0,0,0
111930,61,9,1457,341,322,19,0,0,0,0,0,0
112111,61,9,386,263,262,1,0,0,0,0,0,0
112112,61,9,4,3,3,0,0,0,0,0,0,0
112120,61,9,1099,44,5,39,0,0,0,0,0,0
112210,61,9,31,31,31,0,0,0,0,0,0,0
112310,61,9,979,192,181,11,0,0,0,0,0,0
112410,61,9,262,160,159,1,0,0,0,0,0,0
112511,61,9,2378,899,874,22,3,0,0,0,0,0
111110,62,10,539,189,187,2,0,0,0,0,0,0
111130,62,10,893,208,202,6,0,0,0,0,0,0
111211,62,10,8685,376,249,127,0,0,0,0,0,0
111310,62,10,17440,2167,1887,280,0,0,0,0,0,0
111411,62,10,5378,381,307,53,21,0,0,0,0,0
111930,62,10,1589,385,362,23,0,0,0,0,0,0
112111,62,10,2695,1042,1019,23,0,0,0,0,0,0
112112,62,10,107,11,9,2,0,0,0,0,0,0
112120,62,10,405,18,4,14,0,0,0,0,0,0
112210,62,10,150,89,88,1,0,0,0,0,0,0
112310,62,10,971,291,283,8,0,0,0,0,0,0
112410,62,10,931,472,463,9,0,0,0,0,0,0
112511,62,10,2226,851,825,23,3,0,0,0,0,0
111110,63,11,36,6,5,1,0,0,0,0,0,0
111130,63,11,41,7,6,1,0,0,0,0,0,0
111211,63,11,1690,113,85,28,0,0,0,0,0,0
111310,63,11,19876,2488,2165,323,0,0,0,0,0,0
111411,63,11,9625,664,535,88,41,0,0,0,0,0
111930,63,11,408,106,98,8,0,0,0,0,0,0
112111,63,11,184,130,129,1,0,0,0,0,0,0
112120,63,11,121,7,4,3,0,0,0,0,0,0
112210,63,11,17,10,10,0,0,0,0,0,0,0
112310,63,11,382,77,72,5,0,0,0,0,0,0
112410,63,11,95,69,69,0,0,0,0,0,0,0
112511,63,11,994,354,342,11,1,0,0,0,0,0
111110,64,12,40,11,11,0,0,0,0,0,0,0
111130,64,12,75,26,26,0,0,0,0,0,0,0
111211,64,12,10379,493,338,155,0,0,0,0,0,0
111310,64,12,41906,4937,4263,674,0,0,0,0,0,0
111411,64,12,7236,625,528,69,28,0,0,0,0,0
111930,64,12,1607,338,315,23,0,0,0,0,0,0
112111,64,12,2400,1009,991,18,0,0,0,0,0,0
112112,64,12,87,29,28,1,0,0,0,0,0,0
112120,64,12,1510,70,22,48,0,0,0,0,0,0
112210,64,12,153,38,36,2,0,0,0,0,0,0
112310,64,12,985,200,186,14,0,0,0,0,0,0
112410,64,12,800,325,321,3,1,0,0,0,0,0
112511,64,12,2129,772,755,12,5,0,0,0,0,0
111110,69,13,1688,421,410,11,0,0,0,0,0,0
111130,69,13,1980,548,540,8,0,0,0,0,0,0
111211,69,13,34200,1585,1074,511,0,0,0,0,0,0
111310,69,13,140875,18379,16104,2275,0,0,0,0,0,0
111411,69,13,13708,1061,878,125,58,0,0,0,0,0
111920,69,13,813,137,132,5,0,0,0,0,0,0
111930,69,13,15165,3316,3098,218,0,0,0,0,0,0
112111,69,13,14745,6202,6052,150,0,0,0,0,0,0
112112,69,13,819,116,102,14,0,0,0,0,0,0
112120,69,13,16284,771,226,545,0,0,0,0,0,0
112210,69,13,477,206,204,1,1,0,0,0,0,0
112310,69,13,2939,708,672,36,0,0,0,0,0,0
112410,69,13,2943,1383,1358,23,2,0,0,0,0,0
112511,69,13,8411,2948,2863,68,17,0,0,0,0,0
111110,81,14,538,234,232,2,0,0,0,0,0,0
111130,81,14,647,318,316,2,0,0,0,0,0,0
111211,81,14,1484,195,168,27,0,0,0,0,0,0
111310,81,14,134,88,88,0,0,0,0,0,0,0
111411,81,14,1898,327,303,21,3,0,0,0,0,0
111930,81,14,5086,2725,2704,20,1,0,0,0,0,0
112111,81,14,6210,2855,2809,37,9,0,0,0,0,0
112112,81,14,270,38,29,9,0,0,0,0,0,0
112120,81,14,1397,77,41,36,0,0,0,0,0,0
112210,81,14,428,123,119,4,0,0,0,0,0,0
112310,81,14,1800,500,491,5,0,4,0,0,0,0
112410,81,14,711,490,488,2,0,0,0,0,0,0
112511,81,14,4813,1976,1957,12,5,2,0,0,0,0
111110,89,15,2130,976,970,6,0,0,0,0,0,0
111130,89,15,3254,1293,1276,17,0,0,0,0,0,0
111211,89,15,4181,589,506,83,0,0,0,0,0,0
111310,89,15,2695,696,669,24,2,1,0,0,0,0
111411,89,15,3263,492,456,31,5,0,0,0,0,0
111930,89,15,15565,8702,8651,45,6,0,0,0,0,0
112111,89,15,15195,7125,7032,74,19,0,0,0,0,0
112112,89,15,1370,180,128,52,0,0,0,0,0,0
112120,89,15,1665,101,62,39,0,0,0,0,0,0
112210,89,15,912,209,200,9,0,0,0,0,0,0
112310,89,15,1356,744,739,2,2,1,0,0,0,0
112410,89,15,2694,959,940,13,6,0,0,0,0,0
112511,89,15,7809,4044,4018,21,4,1,0,0,0,0
111110,91,16,49,31,31,0,0,0,0,0,0,0
111130,91,16,46,33,33,0,0,0,0,0,0,0
111211,91,16,1093,252,238,13,1,0,0,0,0,0
111310,91,16,993,180,175,4,0,1,0,0,0,0
111411,91,16,2720,363,336,17,10,0,0,0,0,0
111910,91,16,1083,35,21,12,2,0,0,0,0,0
111930,91,16,1222,511,508,2,1,0,0,0,0,0
112111,91,16,425,202,198,4,0,0,0,0,0,0
112112,91,16,4,2,2,0,0,0,0,0,0,0
112120,91,16,239,39,35,4,0,0,0,0,0,0
112210,91,16,76,38,38,0,0,0,0,0,0,0
112310,91,16,323,131,130,0,1,0,0,0,0,0
112410,91,16,182,105,104,1,0,0,0,0,0,0
112511,91,16,1121,353,342,11,0,0,0,0,0,0
111110,92,17,22,7,7,0,0,0,0,0,0,0
111130,92,17,35,9,9,0,0,0,0,0,0,0
111211,92,17,574,218,211,7,0,0,0,0,0,0
111310,92,17,718,160,153,7,0,0,0,0,0,0
111411,92,17,2426,350,322,20,8,0,0,0,0,0
111930,92,17,1446,432,425,3,4,0,0,0,0,0
112111,92,17,348,159,156,3,0,0,0,0,0,0
112120,92,17,277,29,23,6,0,0,0,0,0,0
112210,92,17,63,27,27,0,0,0,0,0,0,0
112310,92,17,353,140,139,0,1,0,0,0,0,0
112410,92,17,126,78,78,0,0,0,0,0,0,0
112511,92,17,702,370,366,4,0,0,0,0,0,0
111110,99,18,23,9,9,0,0,0,0,0,0,0
111130,99,18,21,15,15,0,0,0,0,0,0,0
111211,99,18,264,77,75,2,0,0,0,0,0,0
111310,99,18,164,48,47,1,0,0,0,0,0,0
111411,99,18,781,100,95,1,4,0,0,0,0,0
111930,99,18,463,145,143,1,1,0,0,0,0,0
112111,99,18,96,91,91,0,0,0,0,0,0,0
112112,99,18,2,2,2,0,0,0,0,0,0,0
112120,99,18,128,22,20,2,0,0,0,0,0,0
112210,99,18,27,22,22,0,0,0,0,0,0,0
112310,99,18,34,33,33,0,0,0,0,0,0,0
112410,99,18,169,63,60,3,0,0,0,0,0,0
112511,99,18,949,177,171,5,0,1,0,0,0,0
111110,100,19,599,277,276,1,0,0,0,0,0,0
111130,100,19,913,396,393,3,0,0,0,0,0,0
111211,100,19,648,72,63,9,0,0,0,0,0,0
111310,100,19,101,40,40,0,0,0,0,0,0,0
111411,100,19,413,71,66,3,2,0,0,0,0,0
111930,100,19,572,204,198,6,0,0,0,0,0,0
112111,100,19,147,99,99,0,0,0,0,0,0,0
112112,100,19,1,1,1,0,0,0,0,0,0,0
112120,100,19,67,11,11,0,0,0,0,0,0,0
112210,100,19,23,20,20,0,0,0,0,0,0,0
112310,100,19,1300,624,624,0,0,0,0,0,0,0
112410,100,19,183,50,50,0,0,0,0,0,0,0
112511,100,19,686,293,289,3,1,0,0,0,0,0
111110,121,21,6,4,4,0,0,0,0,0,0,0
111130,121,21,6,6,6,0,0,0,0,0,0,0
111211,121,21,1487,74,54,12,8,0,0,0,0,0
111310,121,21,165,78,78,0,0,0,0,0,0,0
111411,121,21,839,112,99,12,1,0,0,0,0,0
111930,121,21,154,120,120,0,0,0,0,0,0,0
112111,121,21,1043,649,645,4,0,0,0,0,0,0
112210,121,21,92,29,28,1,0,0,0,0,0,0
112310,121,21,274,109,105,4,0,0,0,0,0,0
112410,121,21,185,112,111,1,0,0,0,0,0,0
112511,121,21,606,246,239,6,1,0,0,0,0,0
111110,122,22,19,6,6,0,0,0,0,0,0,0
111130,122,22,13,7,7,0,0,0,0,0,0,0
111211,122,22,2837,165,123,29,13,0,0,0,0,0
111310,122,22,7956,1743,1677,44,22,0,0,0,0,0
111411,122,22,11956,1343,1155,152,36,0,0,0,0,0
111930,122,22,227,158,157,1,0,0,0,0,0,0
112111,122,22,651,204,199,4,0,1,0,0,0,0
112120,122,22,62,7,6,1,0,0,0,0,0,0
112210,122,22,3,3,3,0,0,0,0,0,0,0
112310,122,22,332,185,181,4,0,0,0,0,0,0
112410,122,22,133,101,101,0,0,0,0,0,0,0
112511,122,22,1898,768,738,29,1,0,0,0,0,0
111110,123,23,1,1,1,0,0,0,0,0,0,0
111130,123,23,4,2,2,0,0,0,0,0,0,0
111211,123,23,1405,97,76,17,4,0,0,0,0,0
111310,123,23,1980,539,521,15,3,0,0,0,0,0
111411,123,23,7608,903,777,106,20,0,0,0,0,0
111910,123,23,31,1,0,1,0,0,0,0,0,0
111930,123,23,675,403,398,5,0,0,0,0,0,0
112111,123,23,3962,2044,2018,25,0,1,0,0,0,0
112120,123,23,152,10,6,4,0,0,0,0,0,0
112210,123,23,72,50,50,0,0,0,0,0,0,0
112310,123,23,501,229,223,6,0,0,0,0,0,0
112410,123,23,520,277,274,3,0,0,0,0,0,0
112511,123,23,2675,866,836,25,5,0,0,0,0,0
111110,124,24,11,7,7,0,0,0,0,0,0,0
111130,124,24,21,9,9,0,0,0,0,0,0,0
111211,124,24,1209,82,65,13,4,0,0,0,0,0
111310,124,24,1529,415,405,5,5,0,0,0,0,0
111411,124,24,3909,457,391,58,8,0,0,0,0,0
111930,124,24,653,319,312,7,0,0,0,0,0,0
112111,124,24,3395,1761,1741,18,1,1,0,0,0,0
112120,124,24,149,8,5,3,0,0,0,0,0,0
112210,124,24,102,37,36,1,0,0,0,0,0,0
112310,124,24,415,174,169,5,0,0,0,0,0,0
112410,124,24,322,193,192,1,0,0,0,0,0,0
112511,124,24,1582,596,579,15,2,0,0,0,0,0
111110,129,25,177,109,109,0,0,0,0,0,0,0
111130,129,25,250,152,152,0,0,0,0,0,0,0
111211,129,25,11435,823,657,118,48,0,0,0,0,0
111310,129,25,13284,3471,3361,80,30,0,0,0,0,0
111411,129,25,18036,2079,1787,238,54,0,0,0,0,0
111910,129,25,47,5,4,1,0,0,0,0,0,0
111920,129,25,158,92,92,0,0,0,0,0,0,0
111930,129,25,7479,4247,4199,48,0,0,0,0,0,0
112111,129,25,20903,10371,10239,122,6,4,0,0,0,0
112120,129,25,1381,107,76,31,0,0,0,0,0,0
112210,129,25,612,251,246,5,0,0,0,0,0,0
112310,129,25,3086,1094,1046,48,0,0,0,0,0,0
112410,129,25,2070,1305,1300,5,0,0,0,0,0,0
112511,129,25,13494,4888,4722,151,15,0,0,0,0,0
111110,131,26,74,37,37,0,0,0,0,0,0,0
111130,131,26,83,45,45,0,0,0,0,0,0,0
111211,131,26,2269,269,237,21,11,0,0,0,0,0
111310,131,26,1186,393,383,10,0,0,0,0,0,0
111411,131,26,1651,295,275,18,2,0,0,0,0,0
111920,131,26,42,12,12,0,0,0,0,0,0,0
111930,131,26,3696,1755,1700,55,0,0,0,0,0,0
112111,131,26,5519,2713,2684,27,2,0,0,0,0,0
112120,131,26,152,26,24,2,0,0,0,0,0,0
112210,131,26,55,47,47,0,0,0,0,0,0,0
112310,131,26,1702,749,749,0,0,0,0,0,0,0
112410,131,26,700,399,395,4,0,0,0,0,0,0
112511,131,26,2605,1162,1146,14,1,0,1,0,0,0
111110,132,27,4,4,4,0,0,0,0,0,0,0
111130,132,27,19,9,9,0,0,0,0,0,0,0
111211,132,27,232,18,16,0,2,0,0,0,0,0
111310,132,27,152,41,39,2,0,0,0,0,0,0
111411,132,27,347,28,22,6,0,0,0,0,0,0
111920,132,27,41,13,13,0,0,0,0,0,0,0
111930,132,27,355,128,123,5,0,0,0,0,0,0
112111,132,27,124,89,89,0,0,0,0,0,0,0
112120,132,27,5,2,2,0,0,0,0,0,0,0
112210,132,27,2,2,2,0,0,0,0,0,0,0
112310,132,27,129,53,53,0,0,0,0,0,0,0
112410,132,27,53,47,47,0,0,0,0,0,0,0
112511,132,27,177,66,63,3,0,0,0,0,0,0
111110,139,28,840,423,422,1,0,0,0,0,0,0
111130,139,28,1012,531,531,0,0,0,0,0,0,0
111211,139,28,5444,822,747,51,24,0,0,0,0,0
111310,139,28,13161,3556,3456,92,8,0,0,0,0,0
111411,139,28,4750,748,694,42,12,0,0,0,0,0
111910,139,28,114,13,11,2,0,0,0,0,0,0
111920,139,28,3118,1140,1140,0,0,0,0,0,0,0
111930,139,28,20141,8949,8638,311,0,0,0,0,0,0
112111,139,28,14521,7918,7870,45,3,0,0,0,0,0
112112,139,28,1,1,1,0,0,0,0,0,0,0
112120,139,28,1161,164,150,14,0,0,0,0,0,0
112210,139,28,546,196,188,8,0,0,0,0,0,0
112310,139,28,6496,2863,2863,0,0,0,0,0,0,0
112410,139,28,2160,1249,1239,10,0,0,0,0,0,0
112511,139,28,5241,2289,2252,31,3,3,0,0,0,0
111110,151,29,34,2,1,1,0,0,0,0,0,0
111130,151,29,264,2,0,0,2,0,0,0,0,0
111211,151,29,747,229,220,8,1,0,0,0,0,0
111310,151,29,651,282,279,2,1,0,0,0,0,0
111411,151,29,940,283,276,7,0,0,0,0,0,0
111930,151,29,57,33,33,0,0,0,0,0,0,0
112111,151,29,43,32,32,0,0,0,0,0,0,0
112210,151,29,26,20,20,0,0,0,0,0,0,0
112310,151,29,28,28,28,0,0,0,0,0,0,0
112410,151,29,31,16,16,0,0,0,0,0,0,0
112511,151,29,243,75,74,0,1,0,0,0,0,0
111110,159,30,133,2,1,0,1,0,0,0,0,0
111130,159,30,403,6,3,0,3,0,0,0,0,0
111211,159,30,1693,532,508,22,2,0,0,0,0,0
111310,159,30,6252,2406,2367,30,5,4,0,0,0,0
111411,159,30,2757,886,864,21,1,0,0,0,0,0
111930,159,30,497,223,219,4,0,0,0,0,0,0
112111,159,30,2049,770,750,18,2,0,0,0,0,0
112112,159,30,2,2,2,0,0,0,0,0,0,0
112120,159,30,17,13,13,0,0,0,0,0,0,0
112210,159,30,81,48,48,0,0,0,0,0,0,0
112310,159,30,343,109,106,1,2,0,0,0,0,0
112410,159,30,601,310,309,0,1,0,0,0,0,0
112511,159,30,954,260,252,5,3,0,0,0,0,0
111110,160,31,2220,678,670,8,0,0,0,0,0,0
111130,160,31,3432,1003,993,10,0,0,0,0,0,0
111211,160,31,10983,767,589,178,0,0,0,0,0,0
