SCTG,SCTG_GROUP,Trade_Type,Tonnage,Proportion
1,01-05,Domestic,88533208.864,0.984622951036373
1,01-05,Import,965224.064,0.0107347488982008
1,01-05,Export,417416.353,0.00464230006542578
2,01-05,Domestic,1211379030.229,0.916075797559068
2,01-05,Import,7590430.55999998,0.00574007767639353
2,01-05,Export,103387306.475,0.0781841247645384
3,01-05,Domestic,648009596.725998,0.861719321985305
3,01-05,Import,29123459.8649999,0.0387282043592104
3,01-05,Export,74863075.0879997,0.0995524736554846
4,01-05,Domestic,402595674.715002,0.891491664480273
4,01-05,Import,6965337.91700005,0.0154237640473651
4,01-05,Export,42036787.7239999,0.0930845714723623
5,01-05,Domestic,90505794.1699996,0.846929468335282
5,01-05,Import,5879388.679,0.0550177761955101
5,01-05,Export,10478254.49,0.0980527554692082
6,06-09,Domestic,132181537.908999,0.930568387037468
6,06-09,Import,5781815.94899996,0.040704437449597
6,06-09,Export,4080519.274,0.0287271755129349
7,06-09,Domestic,628505248.309,0.918674945315627
7,06-09,Import,29184296.6800001,0.0426581674993313
7,06-09,Export,26453689.2569997,0.0386668871850418
8,06-09,Domestic,113082950.752,0.885289224798399
8,06-09,Import,11932827.474,0.0934181812011453
8,06-09,Export,2719822.28099999,0.021292594000456
9,06-09,Domestic,4623929.632,0.961979456438825
9,06-09,Import,123237.48,0.0256387820443568
9,06-09,Export,59515.1939999999,0.0123817615168178
10,10-14,Domestic,16261325.3650001,0.984441760913222
10,10-14,Import,175006.114,0.0105946669886793
10,10-14,Export,81989.879,0.00496357209809889
11,10-14,Domestic,612613805.108999,0.981544538515882
11,10-14,Import,2539835.04,0.00406938464568181
11,10-14,Export,8978817.49300003,0.0143860768384365
12,10-14,Domestic,1881754761.572,0.987194046448078
12,10-14,Import,23551791.3029999,0.0123555888537177
12,10-14,Export,858469.435000001,0.000450364698204176
13,10-14,Domestic,248518355.453,0.842644977393032
13,10-14,Import,35538491.598,0.120499475359045
13,10-14,Export,10869678.497,0.0368555472479227
14,10-14,Domestic,53538233.9929999,0.576699486809288
14,10-14,Import,13796429.123,0.148611431525274
14,10-14,Export,25500921.4779999,0.274689081665438
15,15-19,Domestic,790372252.759,0.86202898221447
15,15-19,Import,7293717.73100001,0.00795498077047338
15,15-19,Export,119208367.921,0.130016037015056
16,15-19,Domestic,507559085.454001,0.502940411565984
16,15-19,Import,438096412.471,0.4341098333343
16,15-19,Export,63527844.24,0.0629497550997163
17,15-19,Domestic,1366724616.254,0.925752038751216
17,15-19,Import,41506431.3219999,0.0281144152674629
17,15-19,Export,68108791.8669998,0.0461335459813211
18,15-19,Domestic,874785589.733,0.830932877401771
18,15-19,Import,60666853.3629999,0.0576256440657817
18,15-19,Export,117322833.372,0.111441478532447
19,15-19,Domestic,2538184914.4,0.947525164693326
19,15-19,Import,68863614.439,0.0257073498634813
19,15-19,Export,71703454.726,0.0267674854431928
20,20-24,Domestic,396357801.728008,0.820466863696888
20,20-24,Import,30473358.8789998,0.0630803306425644
20,20-24,Export,56256967.952,0.116452805660548
