Commodity_SCTG,ODSegment,Mode.Domestic,Tons,Target
1,I,Truck,52077805.6,0.999996082799601
2,I,Truck,487840437.7,0.92309465440178
3,I,Truck,218320036.2,0.967454781780531
4,I,Truck,158945894.2,0.98980309584679
5,I,Truck,25563139.3,0.984445791194652
6,I,Truck,35858598.1,0.920872569448525
7,I,Truck,264181255.5,0.980449905465991
8,I,Truck,54346024.9,0.996338418572919
9,I,Truck,1924993,0.998928522019422
10,I,Truck,25227570.5,0.99997454833562
11,I,Truck,423953507.7,0.989669384891344
12,I,Truck,1424736841.6,0.963317207272605
12,I,Rail,43052744.1,0.0291095506207721
13,I,Truck,80790013.4,0.97583617448087
14,I,Truck,4145506.3,0.204206347829033
15,I,Truck,166643895.4,0.531681875759725
17,I,Truck,447115231.8,0.612609126043483
18,I,Truck,344695406.1,0.552691362070741
19,I,Truck,224528809.1,0.463321759447072
19,I,Rail,15558518.6,0.0321054578298299
20,I,Truck,76359966.3,0.621102708317277
20,I,Rail,10724991.8,0.0872357830474919
21,I,Truck,4307796.5,0.891955262230774
21,I,Rail,521749.9,0.108031465477392
22,I,Truck,69516300.9,0.726501099619283
23,I,Truck,27481996.6,0.966219738006894
23,I,Rail,777603.3,0.0273391947366479
24,I,Truck,39069159.7,0.764284771016903
24,I,Rail,12049254.6,0.235711795789797
25,I,Truck,275129859.7,0.999872863482147
26,I,Truck,186714474,0.983562240014694
26,I,Rail,3120461.1,0.0164377599853063
27,I,Truck,22956825.7,0.933553384995036
27,I,Rail,1633975.5,0.0664466150049637
28,I,Truck,27168142.3,0.994998506960701
28,I,Rail,136564.3,0.00500149303929895
29,I,Truck,14713592.9,0.982806646545759
29,I,Rail,257401.6,0.0171933534542411
30,I,Truck,12284625.3,0.984537694481879
30,I,Rail,192931.8,0.015462305518121
31,I,Truck,661206676.2,0.984947843571408
31,I,Rail,9354034.1,0.0139339726096499
32,I,Truck,75592101.7,0.916884455845679
32,I,Rail,6852145.1,0.0831121928098096
33,I,Truck,35794657.6,0.970324745710475
33,I,Rail,1094700.9,0.0296752488679073
34,I,Truck,40815834.7,0.990969725101612
34,I,Rail,371653.8,0.00902340149909931
35,I,Truck,18895076.4,0.979517462877656
35,I,Rail,394139.4,0.0204321177080883
36,I,Truck,34227027.2,0.983018360546562
36,I,Rail,590620.8,0.0169629423884263
37,I,Truck,1251624.7,0.560028040224218
38,I,Truck,1439349,0.576108839677526
38,I,Rail,1059048.7,0.423891160322474
39,I,Truck,32376425.8,0.998986743441915
39,I,Rail,32636.1,0.0010069990881342
40,I,Truck,31861011,0.989616417373191
40,I,Rail,334302.7,0.0103835826268094
41,I,Truck,417571894.5,0.980692950596371
41,I,Rail,7624042.7,0.0179055272383418
43,I,Truck,145032735.9,0.993531115777591
43,I,Rail,931705.7,0.00638254941515822
3,X,Truck,169866723.5,0.796729060237044
5,X,Truck,58439151.4,0.991773053478678
7,X,Truck,295311318.2,0.842550199256883
19,X,Truck,123752094.7,0.071174164720402
19,X,Pipeline,1552809647.8,0.893075223654752
20,X,Truck,99032209.9,0.481338751428677
20,X,Rail,74718008.7,0.363161369954393
21,X,Truck,9810038.1,0.866771216599419
21,X,Rail,1444854.4,0.127660891153626
23,X,Truck,64805686.3,0.881256773540072
24,X,Truck,81450291.6,0.664730599954842
25,X,Truck,10094069.4,0.949449266305285
26,X,Truck,136868846.8,0.86096114943392
28,X,Truck,43285952.7,0.91044752358024
29,X,Truck,20268633.7,0.890444829755835
29,X,Rail,2431798.6,0.106834161711526
30,X,Truck,24487554,0.879759845043332
30,X,Rail,3260229.4,0.117129661531312
31,X,Truck,204473506.1,0.823526539768729
32,X,Truck,169699668.5,0.793144143694477
33,X,Truck,63845090.2,0.892707885980862
33,X,Rail,7582326.8,0.106019161492923
34,X,Truck,38591384.9,0.92534859938601
34,X,Rail,3014321.5,0.0722777424379019
35,X,Truck,27823120.9,0.880430347724713
35,X,Rail,3519394.9,0.111367164263287
36,X,Truck,73979737.4,0.870684922052768
36,X,Rail,10767880.7,0.126729719480634
38,X,Rail,1567146.4,0.311795657830364
