Commodity_SCTG,UnitCost,Tons,Value
1,1658.66485068098,100090363,166016367000
2,238.48672192144,945950883.9,225596725400
3,685.090422732479,524732345.5,359489104400
4,424.754248637781,318945393.8,135473411100
5,3389.60744662601,98884074.3,335178194600
6,1346.17928093488,119786154.7,161253639600
7,1005.33567125761,665565667.1,669116906700
8,1771.51303741248,111067568.2,196757645100
9,21780.2812413953,3166888,68975711300
10,160.527439253365,31292786.6,5023350900
11,15.0159994786082,549504594.2,8251360700
12,10.4578290083085,1753908281.1,18342072900
13,87.9264590733992,191590808.7,16845901400
14,243.547277270664,123394803,30052468300
15,46.8313455732797,1169937838.2,54789763200
16,636.591038255781,868907617.7,553138802500
17,915.532219165094,1059222630.4,969752445400
18,800.942992015315,970868560,777610369300
19,345.006360820101,2313120913.2,798041428400
20,1043.9243366524,402269608.3,419939034000
21,45482.9937609101,19253192.8,875692848000
22,436.578190277598,226307545.59035,98800938700
23,3380.27011631575,118154054.9,399392620900
24,2945.635660131,220387852.2,649182316500
25,44.1706718202819,297051590.1,13120968300
26,470.651041453113,377113352.5,177488792100
27,966.649500594672,144479956.4,139661477700
28,1700.28918624451,78846039.3,134061068000
29,4215.38636435405,40255794.4,169693726800
30,10113.2136683078,60432405.4,611165828300
31,232.206960200493,951363968.2,220913335100
32,1484.25850694529,347959652.3,516462074000
33,3113.87122233353,139525045.7,434463024600
34,8919.01061577015,121086005.2,1079967365800
35,22097.7063924593,70016930.6,1547213574900
36,7855.10729323838,163503966,1284341195800
37,29456.5487897822,11582217.1,341172143100
38,43931.2120967546,10004997.5,439531667200
39,4756.32014305558,70970683.9,337559293400
40,7603.94711795023,94182627.6,716159719700
41,172.753064876829,624798077.4,107935782800
43,3732.08130282107,384902850.7,1436488732500
99,280.341165204249,1277621.5,358169900
