SCTG,Mode.Domestic,Tons,Target
1,Truck,1361827.3,0.976974062497108
1,Rail,14089.2,0.0101075833634223
1,Water,11990.3,0.00860183380195057
1,Air,6016.9,0.00431652033751919
2,Truck,61170429.4,0.619567145050646
2,Rail,28689075.9,0.290578454718258
2,Water,8871406.9,0.089854400231096
3,Truck,69139575.3,0.744707191623362
3,Rail,20483095.9,0.220624855695939
3,Water,3105352.5,0.0334479685367056
3,Air,113264.9,0.00121998414399431
4,Truck,22676423.4,0.660180346048105
4,Rail,10358089.7,0.301555810716751
4,Water,1292063.6,0.037615940552784
4,Air,22254.7,0.000647902682360251
5,Truck,12073348.9,0.861205817077809
5,Rail,1420606,0.101333454463131
5,Water,444427.7,0.0317015373017599
5,Air,80738.8,0.00575919115730034
6,Truck,6465003.1,0.772521927991551
6,Rail,1659699.3,0.198322271975744
6,Water,233546.8,0.0279071829389002
6,Air,10449.3,0.00124861709380497
7,Truck,37978104.2,0.751399794839414
7,Rail,9513249.9,0.188220401562753
7,Water,2988916.4,0.0591359473323094
7,Air,62868.4,0.00124385626552371
8,Truck,7204607.9,0.624805596183138
8,Rail,3971223.3,0.344396610609839
8,Water,350135.4,0.030364811017935
8,Air,4992.7,0.000432982189088119
9,Truck,194256.9,0.763144175894458
9,Rail,46126.3,0.181208581010819
9,Water,14164.9,0.0556472430947235
10,Truck,268543,0.545782609252349
10,Rail,186235,0.378501112425612
10,Water,37254.9,0.075716278322039
11,Truck,2659597.5,0.252079936294878
11,Rail,6240621.5,0.591493814443895
11,Water,1650392.6,0.156426249261228
12,Truck,8432017.5,0.393079961906193
12,Rail,5529148.9,0.257755352024076
12,Water,7489984.3,0.349164686069731
13,Truck,27878588.1,0.544940247598674
13,Rail,12880041.3,0.251765005814737
13,Water,10400352.2,0.20329474658659
14,Truck,21727967.9,0.410035376662077
14,Rail,21445166.4,0.404698539820878
14,Water,9816359.4,0.185247633030115
14,Air,977.7,1.84504869303729e-05
15,Truck,54268657.3,0.399586333604579
15,Rail,74700714.1,0.550029905841487
15,Water,6842724.1,0.0503837605539339
16,Truck,950455.7,0.00229507288300284
16,Rail,9041023.1,0.0218314298619202
16,Water,14449472,0.0348912541225318
16,Pipeline,113728963.7,0.274622226580244
16,None,275958851.1,0.666360016552301
17,Truck,36757840.2,0.41314062838185
17,Rail,9849854.6,0.110707677512398
17,Water,20422075.2,0.229534405043455
