Commodity_SCTG,Commodity_SCTG_desc,ShipmentWeight,WeightCategory,ValuePct,TonsPct
0,All Commodities (4),Less than 50 lbs,1,0.1267,0.002
0,All Commodities (4),50 - 99 lbs,2,0.0333,0.0013
0,All Commodities (4),100 - 499 lbs,3,0.0937,0.0077
0,All Commodities (4),500 - 749 lbs,4,0.0265,0.0038
0,All Commodities (4),750 - 999 lbs,5,0.0195,0.0035
0,All Commodities (4),"1,000 - 9,999 lbs",6,0.2038,0.0566
0,All Commodities (4),"10,000 - 49,999 lbs",7,0.341,0.4199
0,All Commodities (4),"50,000 - 99,999 lbs",8,0.0586,0.1866
0,All Commodities (4),"More than 100,000 lbs",9,0.097,0.3186
1,Live animals and live fish,Less than 50 lbs,1,0.0243,0.0016
1,Live animals and live fish,50 - 99 lbs,2,0.0109,0.0011
1,Live animals and live fish,100 - 499 lbs,3,0.0297,0.0062
1,Live animals and live fish,500 - 749 lbs,4,  ,  
1,Live animals and live fish,750 - 999 lbs,5,0.0036,0.0018
1,Live animals and live fish,"1,000 - 9,999 lbs",6,0.0654,0.0514
1,Live animals and live fish,"10,000 - 49,999 lbs",7,0.5382,0.6283
1,Live animals and live fish,"50,000 - 99,999 lbs",8,0.1898,0.1852
1,Live animals and live fish,"More than 100,000 lbs",9,0.1339,0.1228
2,Cereal grains,Less than 50 lbs,1,  ,  
2,Cereal grains,50 - 99 lbs,2,  ,0
2,Cereal grains,100 - 499 lbs,3,0.0006,0.0001
2,Cereal grains,500 - 749 lbs,4,0.0009,0.0001
2,Cereal grains,750 - 999 lbs,5,0.0003,0
2,Cereal grains,"1,000 - 9,999 lbs",6,0.0108,0.0033
2,Cereal grains,"10,000 - 49,999 lbs",7,0.0721,0.0517
2,Cereal grains,"50,000 - 99,999 lbs",8,0.2861,0.3249
2,Cereal grains,"More than 100,000 lbs",9,0.6291,0.6198
3,Other agricultural products,Less than 50 lbs,1,0.0315,0.0016
3,Other agricultural products,50 - 99 lbs,2,0.0154,0.002
3,Other agricultural products,100 - 499 lbs,3,0.0647,0.0153
3,Other agricultural products,500 - 749 lbs,4,0.0219,0.0067
3,Other agricultural products,750 - 999 lbs,5,0.0151,0.005
3,Other agricultural products,"1,000 - 9,999 lbs",6,0.1956,0.092
3,Other agricultural products,"10,000 - 49,999 lbs",7,0.4084,0.3188
3,Other agricultural products,"50,000 - 99,999 lbs",8,0.1025,0.2544
3,Other agricultural products,"More than 100,000 lbs",9,0.1449,0.3041
4,"Animal feed and products of animal origin, nec",Less than 50 lbs,1,0.0084,0.0004
4,"Animal feed and products of animal origin, nec",50 - 99 lbs,2,0.0026,0.0003
4,"Animal feed and products of animal origin, nec",100 - 499 lbs,3,0.0161,0.0026
4,"Animal feed and products of animal origin, nec",500 - 749 lbs,4,0.008,0.0016
4,"Animal feed and products of animal origin, nec",750 - 999 lbs,5,0.006,0.0012
4,"Animal feed and products of animal origin, nec","1,000 - 9,999 lbs",6,0.0943,0.0398
4,"Animal feed and products of animal origin, nec","10,000 - 49,999 lbs",7,0.594,0.5065
4,"Animal feed and products of animal origin, nec","50,000 - 99,999 lbs",8,0.1381,0.2793
4,"Animal feed and products of animal origin, nec","More than 100,000 lbs",9,0.1324,0.1682
5,"Meat, fish, seafood, and their preparations",Less than 50 lbs,1,0.0118,0.0029
5,"Meat, fish, seafood, and their preparations",50 - 99 lbs,2,0.0141,0.0045
5,"Meat, fish, seafood, and their preparations",100 - 499 lbs,3,0.0653,0.0332
5,"Meat, fish, seafood, and their preparations",500 - 749 lbs,4,0.0228,0.0158
5,"Meat, fish, seafood, and their preparations",750 - 999 lbs,5,0.0179,0.0134
5,"Meat, fish, seafood, and their preparations","1,000 - 9,999 lbs",6,0.2162,0.1802
5,"Meat, fish, seafood, and their preparations","10,000 - 49,999 lbs",7,0.6175,0.6807
5,"Meat, fish, seafood, and their preparations","50,000 - 99,999 lbs",8,0.0139,0.0268
5,"Meat, fish, seafood, and their preparations","More than 100,000 lbs",9,0.0206,0.0425
6,"Milled grain products and preparations, and bakery products",Less than 50 lbs,1,0.0375,0.0058
6,"Milled grain products and preparations, and bakery products",50 - 99 lbs,2,0.0101,0.0032
6,"Milled grain products and preparations, and bakery products",100 - 499 lbs,3,0.0355,0.0146
6,"Milled grain products and preparations, and bakery products",500 - 749 lbs,4,0.0139,0.0075
6,"Milled grain products and preparations, and bakery products",750 - 999 lbs,5,0.0142,0.0079
6,"Milled grain products and preparations, and bakery products","1,000 - 9,999 lbs",6,0.1634,0.0986
