CHID,CHDESC,VAR,TYPE,COEFF
1,<=15 minutes,asc1,Constant,0
2,15 ~ 30 minutes,asc2,Constant,1.19
2,15 ~ 30 minutes,PU_DO_Weight,Variable,0.0505
2,15 ~ 30 minutes,Nstops,Variable,-0.0463
2,15 ~ 30 minutes,Veh_class_2,Variable,-0.388
3,30 ~ 45 minutes,asc3,Constant,1.9
3,30 ~ 45 minutes,Mac,Variable,-0.191
3,30 ~ 45 minutes,PU_DO_Weight,Variable,0.0951
3,30 ~ 45 minutes,Nstops,Variable,-0.14
3,30 ~ 45 minutes,Veh_class_1,Variable,-0.346
3,30 ~ 45 minutes,Veh_class_2,Variable,-0.514
4,45 ~ 60 minutes,asc4,Constant,2.69
4,45 ~ 60 minutes,PU_DO_Weight,Variable,0.1
4,45 ~ 60 minutes,Nstops,Variable,-0.241
4,45 ~ 60 minutes,Veh_class_1,Variable,-0.758
4,45 ~ 60 minutes,Veh_class_2,Variable,-0.903
5,60 ~ 75 minutes,asc5,Constant,2.43
5,60 ~ 75 minutes,PU_DO_Weight,Variable,0.111
5,60 ~ 75 minutes,Dest_Retail,Variable,0.269
5,60 ~ 75 minutes,Nstops,Variable,-0.281
5,60 ~ 75 minutes,Veh_class_1,Variable,-0.695
5,60 ~ 75 minutes,Veh_class_2,Variable,-0.857
6,>75 minutes,asc6,Constant,4.4
6,>75 minutes,Mac,Variable,-0.219
6,>75 minutes,Food,Variable,-0.336
6,>75 minutes,PU_DO_Weight,Variable,0.0804
6,>75 minutes,Direct,Variable,1.06
6,>75 minutes,Nstops,Variable,-0.409
6,>75 minutes,Veh_class_1,Variable,-0.699
6,>75 minutes,Veh_class_2,Variable,-0.871
