Zone,mesozone,totalemp
1,17,524
2,17,1541
3,17,3901
4,17,3160
5,17,10731
6,17,13845
7,17,6944
8,17,601
9,17,808
10,17,4413
11,17,5188
12,17,13657
13,17,9269
14,17,2204
15,17,14626
16,17,14341
17,17,16109
18,17,21043
19,17,6643
20,17,5023
21,17,7582
22,17,21394
23,17,78063
24,17,12430
25,17,15125
26,17,1965
27,17,14293
28,17,33712
29,17,43011
30,17,26518
31,17,109
32,17,2237
33,17,4176
34,17,10939
35,17,18729
36,17,17253
37,17,31
38,17,3074
39,17,1315
40,17,1368
41,17,5922
42,17,0
43,17,261
44,17,673
45,17,0
46,17,596
47,17,776
48,17,932
49,17,3528
50,17,1132
51,17,4774
52,17,572
53,17,1766
54,17,1923
55,17,1955
56,17,10382
57,17,20741
58,17,2928
59,17,1652
60,17,4821
61,17,8659
62,17,1319
63,17,8780
64,17,777
65,17,17967
66,17,340
67,17,552
68,17,4067
69,17,345
70,17,4413
71,17,774
72,17,1598
73,17,951
74,17,1035
75,17,3766
76,17,2690
77,17,0
78,14,6794
79,14,9641
80,14,12913
81,17,9914
82,17,8102
83,17,25707
84,17,3948
85,17,5881
86,17,1791
87,17,3642
88,17,6302
89,12,2137
90,12,709
91,9,2998
92,12,34070
93,12,369
94,12,1025
95,12,3464
96,12,3378
97,12,1325
98,12,7066
99,12,8257
100,12,2428
101,12,4282
102,12,822
103,12,984
104,12,3165
105,12,387
106,9,1564
107,9,3880
108,12,10582
109,12,1628
110,12,893
111,10,1104
112,10,1143
113,10,2725
114,10,2671
115,11,5403
116,11,1550
117,10,3356
118,11,5567
119,11,1824
120,13,2068
121,13,2925
122,13,2129
123,13,5355
124,13,3101
125,13,4407
126,13,1527
127,13,1819
128,13,4383
129,13,1730
130,13,6004
131,13,6126
132,13,5577
133,13,1702
134,13,2366
135,13,5784
136,13,2775
137,13,2950
138,13,2552
139,13,3260
140,13,2400
141,13,4289
142,13,2989
143,13,5991
144,13,2998
145,13,2105
146,13,1856
147,13,3149
148,13,2387
149,13,2332
150,13,2888
151,13,1953
152,13,2280
153,13,3775
154,13,2061
155,13,3605
156,14,2116
157,14,3563
158,14,4539
159,14,7796
160,14,10457
161,14,7218
162,14,2252
163,14,5147
164,14,7282
165,14,4550
166,14,6097
167,14,7716
168,14,6353
169,16,867
170,16,1661
171,16,2761
172,16,2240
173,16,3875
174,16,4493
175,16,1751
176,16,2958
177,16,1378
178,16,2988
179,16,2224
180,16,4580
181,16,1520
182,16,1584
183,16,1698
184,16,3047
185,16,1708
186,16,8533
187,16,3047
188,16,2724
189,16,3877
190,16,2042
191,16,1432
192,16,1975
193,17,3495
194,17,5716
195,17,4247
196,17,2605
197,19,3192
198,19,4048
199,19,3873
200,19,919
201,19,2958
202,19,2955
203,19,2778
204,19,3161
205,19,2854
206,19,2092
207,19,1364
208,19,103
209,19,7489
210,19,1492
211,19,1639
212,19,1030
213,19,1177
214,19,2565
215,19,3996
216,19,2712
217,19,698
218,19,1293
219,19,1328
220,19,570
221,20,1861
222,20,5054
223,20,1603
224,20,1514
225,20,1069
226,20,1727
227,20,1217
228,20,1096
229,20,1813
230,20,4411
231,20,1257
232,20,481
233,20,816
234,20,536
235,20,25441
236,20,811
237,20,1138
238,20,678
239,20,2951
240,20,765
241,20,495
242,20,1743
243,20,705
244,20,648
245,20,396
246,20,1094
247,20,2659
248,20,2112
249,20,714
250,20,652
251,20,2231
252,20,955
253,20,749
254,20,1715
255,20,1500
256,20,797
257,20,101
258,23,2914
259,23,1451
260,23,737
261,23,1294
262,23,518
263,23,1302
264,23,1067
265,24,1253
266,24,1160
267,24,845
268,24,657
269,24,1658
270,24,2467
271,24,1689
272,24,695
273,24,532
274,24,2181
275,24,1234
276,24,498
277,24,1023
278,24,740
279,24,608
280,24,1403
281,24,278
282,24,75
283,24,2383
284,24,827
285,24,1523
286,24,839
287,24,132
288,24,106
289,24,560
290,24,406
291,24,384
292,24,141
293,24,343
294,24,486
295,24,646
296,24,108
297,24,78
298,24,1791
299,24,242
300,24,558
301,24,696
302,24,153
303,24,407
304,24,79
305,24,644
306,24,2259
307,24,0
308,24,704
309,24,12
310,1,13
311,1,118
312,1,4169
313,1,51
314,1,195
315,1,215
316,1,7870
317,1,1685
318,1,2015
319,6,1311
320,6,291
321,6,5772
322,6,3163
323,6,1099
324,6,2818
325,6,1658
326,6,2340
327,6,1314
328,6,3555
329,6,1297
330,6,644
331,2,743
332,2,1597
333,2,3057
334,2,839
335,2,940
336,2,2507
337,2,1068
338,2,423
339,2,2960
340,2,2539
341,2,724
342,2,130
343,2,1215
344,2,7297
345,2,2361
346,2,1162
347,2,1915
348,2,8588
349,2,2426
350,2,3139
351,2,3288
352,2,2103
353,2,640
354,2,1380
355,7,7314
356,7,633
357,7,3652
358,7,562
359,7,8051
360,7,1549
361,7,1967
362,7,3598
363,7,7740
364,7,220
365,7,276
366,7,1268
367,7,1661
368,7,4593
369,7,11640
370,7,1262
371,7,675
372,7,991
373,7,3089
374,7,1323
375,7,2107
376,7,417
377,7,805
378,7,310
379,7,1748
380,7,2516
381,7,178
382,7,397
383,7,4273
384,7,218
385,3,2024
386,3,2192
387,3,1080
388,3,2998
389,3,3336
390,3,69
391,3,10289
392,3,1881
393,3,1147
394,3,2164
395,3,2994
396,3,1271
397,3,257
398,3,1452
399,3,157
400,3,297
401,3,7233
402,3,616
403,3,1294
404,3,2474
405,3,1305
406,3,486
407,3,2726
408,3,1123
409,3,1297
410,3,4684
411,3,121
412,3,1817
413,3,410
414,3,353
415,3,5958
416,3,1055
417,3,2246
418,3,931
419,3,5342
420,3,1027
421,8,2564
422,8,5386
423,8,1415
424,8,483
425,8,583
426,8,2427
427,8,1090
428,8,6159
429,8,2208
430,8,652
431,8,226
432,8,2546
433,8,4146
434,8,3922
435,8,941
436,8,8168
437,8,808
438,8,6905
439,8,4102
440,8,1775
441,8,335
442,8,6620
443,8,7533
444,4,4774
445,4,8811
446,4,5324
447,4,1252
448,4,5489
449,4,44
450,4,760
451,4,627
452,4,921
453,4,1727
454,4,2165
455,4,1054
456,4,3080
457,4,294
458,4,1237
459,4,3326
460,4,182
461,4,1652
462,4,4721
463,4,237
464,4,874
465,4,5505
466,4,3882
467,4,2708
468,4,7417
469,4,3631
470,4,1815
471,4,3698
472,4,84
473,4,545
474,4,599
475,4,3192
476,4,39
477,9,713
478,9,2645
479,9,2349
480,9,1218
481,9,1202
482,9,572
483,9,1441
484,9,5455
485,9,1359
486,9,3099
487,9,4090
488,9,428
489,9,3257
490,9,2221
491,9,1702
492,9,7292
493,9,794
494,9,894
495,9,5529
496,9,3227
497,9,2724
498,9,1664
499,9,2319
500,9,4393
501,9,3170
502,9,2627
503,5,265
504,5,1308
505,5,62
506,5,152
507,5,1511
508,5,1407
509,5,1792
510,5,1717
511,5,1795
512,5,358
513,5,857
514,5,677
515,5,1301
516,5,1080
517,5,1577
518,5,3994
519,5,8399
520,10,2075
521,10,401
522,10,6198
523,10,3051
524,10,1615
525,10,1643
526,10,3321
527,10,553
528,10,3461
529,10,2737
530,10,1283
531,10,2131
532,10,1957
533,10,4735
534,10,2073
535,10,1481
536,10,3797
537,10,5250
538,10,4200
539,10,10284
540,10,5798
541,10,2860
542,10,5034
543,10,3392
544,10,8119
545,11,1933
546,11,25267
547,11,3424
548,12,2383
549,12,8014
550,12,3174
551,12,3651
552,12,2241
553,12,1644
554,12,2269
555,12,1884
556,12,3090
557,12,1326
558,12,2336
559,12,3365
560,12,1849
561,12,3510
562,12,5330
563,12,4602
564,12,1602
565,15,2792
566,15,874
567,15,3444
568,15,2089
569,15,1269
570,15,2664
571,15,1200
572,15,2140
573,15,1465
574,15,3127
575,15,1163
576,15,3237
577,15,568
578,15,3560
579,15,2971
580,15,1524
581,15,2237
582,15,2006
583,15,48
584,15,804
585,15,3638
586,15,4607
587,15,13604
588,15,3646
589,15,3850
590,15,706
591,15,615
592,15,465
593,15,632
594,15,2808
595,15,8
596,15,663
597,15,1817
598,15,1046
599,15,1349
600,15,1272
601,16,1291
602,16,6493
603,16,2900
604,16,3261
605,16,1005
606,16,3321
607,16,3261
608,16,1965
609,16,3009
610,16,7756
611,16,1960
612,16,2046
613,18,1441
614,18,2236
615,18,4728
616,18,1483
617,18,1134
618,18,955
619,18,178
620,18,2719
621,18,2283
622,18,3341
623,18,3730
624,18,1156
625,18,1698
626,18,851
627,18,5440
628,18,677
629,18,0
630,18,1698
631,18,1607
632,18,1222
633,18,509
634,18,355
635,18,407
636,18,1055
637,18,2735
638,18,7699
639,18,1226
640,18,147
641,18,368
642,18,2341
643,22,132
644,18,288
645,18,491
646,18,166
647,18,703
648,18,2410
649,19,1205
650,19,875
651,19,875
652,19,2582
653,19,472
654,19,3054
655,19,5538
656,19,4182
657,19,2386
658,19,567
659,19,1200
660,19,1078
661,21,1370
662,21,1090
663,21,397
664,21,2572
665,21,736
666,21,225
667,22,424
668,22,167
669,22,656
670,22,2331
671,22,956
672,22,4637
673,22,4
674,22,98
675,22,7167
676,22,231
677,22,1770
678,22,6115
679,23,1416
680,23,1216
681,23,1872
682,23,10309
683,23,1169
684,23,4520
685,23,2583
686,23,1426
687,23,830
688,23,1415
689,23,1158
690,23,1115
691,23,2121
692,23,1388
693,23,703
694,23,2694
695,23,1022
696,23,1587
697,23,1484
698,23,3511
699,23,3471
700,23,1749
701,23,590
702,23,1046
703,23,1409
704,23,2859
705,23,1673
706,23,1013
707,23,2998
708,24,716
709,24,3178
710,24,746
711,25,1119
712,25,220
713,25,249
714,25,2529
715,25,3709
716,25,489
717,25,3457
718,25,7015
719,25,5094
720,25,1335
721,25,1120
722,25,3445
723,26,0
724,26,3
725,26,376
726,26,2978
727,26,682
728,26,1000
729,26,58
730,26,806
731,26,922
732,26,953
733,26,663
734,26,674
735,26,1184
736,26,1679
737,26,1452
738,26,116
739,26,730
740,26,67
741,26,2656
742,26,67
743,26,191
744,26,1406
745,26,361
746,26,601
747,26,1440
748,26,2083
749,26,1921
750,26,805
751,26,620
752,26,1474
753,26,1306
754,26,202
755,26,221
756,26,527
757,26,2180
758,26,907
759,27,851
760,27,225
761,27,781
762,27,1588
763,27,336
764,27,382
765,27,919
766,27,445
767,27,596
768,27,432
769,27,1673
770,27,1102
771,27,4448
772,27,859
773,27,1973
774,27,804
775,27,331
776,27,403
777,27,1266
778,27,1519
779,27,2112
780,27,1393
781,27,704
782,27,3682
783,27,749
784,27,1468
785,27,1985
786,27,691
787,27,23
788,27,2772
789,27,2001
790,27,2482
791,27,1044
792,27,388
793,27,63
794,27,1171
795,27,621
796,27,1
797,27,903
798,27,901
799,27,357
800,27,286
801,27,3270
802,27,536
803,27,1537
804,27,198
805,27,1129
806,27,1268
807,28,969
808,28,386
809,28,431
810,28,1586
811,28,1283
812,28,475
813,28,158
814,28,460
815,28,75
816,28,2286
817,28,2027
818,28,1297
819,28,149
820,28,557
821,28,633
822,28,123
823,28,6
824,28,18
825,28,114
