zone09,MESOZONE,BusID
1765,122,1709100010
1834,126,1709900010
1764,122,1709100011
1763,122,1709100012
1763,122,1709100013
1767,122,1709100014
1762,122,1709100015
1761,122,1709100016
1767,122,1709100017
1757,122,1709100018
1761,122,1709100019
1761,122,17091000110
1761,122,17091000111
1754,122,17091000112
1754,122,17091000113
1880,127,1808900010
1833,126,1709900011
1832,126,1709900012
1660,105,1719700010
1831,126,1709900013
1717,119,1706300010
1830,126,1709900014
1828,126,1709900015
1533,96,1719700011
1828,126,1709900016
1828,126,1709900017
1598,97,1719700012
1598,97,1719700013
1598,97,1719700014
1598,97,1719700015
1598,97,1719700016
1533,96,1719700017
1598,97,1719700018
1533,96,1719700019
1598,97,17197000110
1598,97,17197000111
1715,119,1706300011
1664,100,17197000112
1664,100,17197000113
1664,100,17197000114
1596,97,17197000115
1664,100,17197000116
1664,100,17197000117
1665,100,17197000118
1665,100,17197000119
1665,100,17197000120
1664,100,17197000121
1665,100,17197000122
1665,100,17197000123
1662,100,17197000124
1661,100,17197000125
1662,100,17197000126
1662,100,17197000127
1663,100,17197000128
1662,100,17197000129
1712,119,1706300012
1895,128,1812700010
1895,128,1812700011
1712,119,1706300013
1626,98,17197000130
1662,100,17197000131
1531,96,17197000132
1662,100,17197000133
1712,119,1706300014
1712,119,1706300015
1712,119,1706300016
1531,96,17197000134
1712,119,1706300017
1661,100,17197000135
1892,128,1812700012
1596,97,17197000136
1596,97,17197000137
1711,118,1709300010
1711,118,1709300011
1593,93,17197000138
1594,93,17197000139
1594,93,17197000140
1894,128,1812700013
1594,93,17197000141
1594,93,17197000142
1528,92,17197000143
1528,92,17197000144
1646,95,17197000145
1646,95,17197000146
1528,92,17197000147
1528,92,17197000148
850,29,1703100010
1623,94,17197000149
850,29,1703100011
1528,92,17197000150
1529,92,17197000151
851,29,1703100012
1529,92,17197000152
1526,92,17197000153
826,28,1703100013
1525,92,17197000154
851,29,1703100014
1525,92,17197000155
1525,92,17197000156
1526,92,17197000157
851,29,1703100015
1580,93,17197000158
846,29,1703100016
1876,127,1808900011
846,29,1703100017
1585,93,17197000159
853,29,1703100018
1581,93,17197000160
846,29,1703100019
847,29,17031000110
1620,94,17197000161
848,29,17031000111
842,29,17031000112
846,29,17031000113
1620,94,17197000162
1876,127,1808900012
1876,127,1808900013
1620,94,17197000163
1526,92,17197000164
1620,94,17197000165
1620,94,17197000166
842,29,17031000114
1620,94,17197000167
1578,93,17197000168
846,29,17031000115
1620,94,17197000169
1578,93,17197000170
1526,92,17197000171
1586,93,17197000172
1525,92,17197000173
844,29,17031000116
1573,93,17197000174
844,29,17031000117
1573,93,17197000175
1862,127,1808900014
1640,95,17197000176
1640,95,17197000177
1862,127,1808900015
807,28,17031000118
1641,95,17197000178
1641,95,17197000179
1641,95,17197000180
1641,95,17197000181
1641,95,17197000182
1641,95,17197000183
722,25,17031000119
1855,127,1808900016
788,27,17031000120
1520,89,17197000184
1563,90,17197000185
1563,90,17197000186
784,27,17031000121
784,27,17031000122
717,25,17031000123
779,27,17031000124
746,26,17031000125
779,27,17031000126
780,27,17031000127
779,27,17031000128
1852,127,1808900017
1845,127,1808900018
1845,127,1808900019
1847,127,18089000110
1845,127,18089000111
1883,128,1812700014
741,26,17031000129
1906,129,1809100010
1841,127,18089000112
1844,127,18089000113
1845,127,18089000114
1841,127,18089000115
1883,128,1812700015
1883,128,1812700016
772,27,17031000130
1883,128,1812700017
1883,128,1812700018
1883,128,1812700019
1883,128,18127000110
1841,127,18089000116
1883,128,18127000111
1906,129,1809100011
1883,128,18127000112
1557,90,17197000187
1883,128,18127000113
1841,127,18089000117
711,25,17031000131
1557,90,17197000188
1513,89,17197000189
1557,90,17197000190
1557,90,17197000191
1514,89,17197000192
1557,90,17197000193
1557,90,17197000194
1513,89,17197000195
1608,91,17197000196
1837,127,18089000118
1905,129,1809100012
734,26,17031000132
769,27,17031000133
1557,90,17197000197
1557,90,17197000198
1513,89,17197000199
1557,90,171970001100
1838,127,18089000119
1838,127,18089000120
1837,127,18089000121
1839,127,18089000122
1905,129,1809100013
1907,129,1809100014
1511,87,171970001101
1883,128,18127000114
1511,87,171970001102
728,26,17031000134
1907,129,1809100015
1836,127,18089000123
1752,121,1703700010
1553,88,171970001103
1553,88,171970001104
1838,127,18089000124
1553,88,171970001105
1553,88,171970001106
1553,88,171970001107
1555,88,171970001108
1555,88,171970001109
294,24,17031000135
1839,127,18089000125
1551,88,171970001110
1552,88,171970001111
1552,88,171970001112
1551,88,171970001113
1555,88,171970001114
1552,88,171970001115
1552,88,171970001116
1902,129,1809100016
705,23,17031000136
1552,88,171970001117
1551,88,171970001118
707,23,17031000137
1551,88,171970001119
1555,88,171970001120
1552,88,171970001121
1555,88,171970001122
1552,88,171970001123
1555,88,171970001124
1551,88,171970001125
705,23,17031000138
1555,88,171970001126
1551,88,171970001127
1552,88,171970001128
1552,88,171970001129
1555,88,171970001130
706,23,17031000139
1555,88,171970001131
1555,88,171970001132
1551,88,171970001133
1551,88,171970001134
1551,88,171970001135
1555,88,171970001136
1552,88,171970001137
1552,88,171970001138
1552,88,171970001139
1555,88,171970001140
1552,88,171970001141
1555,88,171970001142
1551,88,171970001143
1555,88,171970001144
1552,88,171970001145
1555,88,171970001146
698,23,17031000140
1548,88,171970001147
306,24,17031000141
1549,88,171970001148
1549,88,171970001149
1549,88,171970001150
1549,88,171970001151
306,24,17031000142
698,23,17031000143
1550,88,171970001152
1549,88,171970001153
1548,88,171970001154
698,23,17031000144
306,24,17031000145
306,24,17031000146
698,23,17031000147
698,23,17031000148
1549,88,171970001155
1550,88,171970001156
306,24,17031000149
1903,129,1809100017
698,23,17031000150
1549,88,171970001157
