Mesozone,NAICS,Employment
1,11,10
1,21,0
1,22,0
1,23,603
1,31,119
1,32,165
1,33,264
1,42,1109
1,44,916
1,45,265
1,48,181
1,49,63
1,51,2359
1,52,973
1,53,117
1,54,571
1,55,10976
1,56,651
1,61,101
1,62,1143
1,71,176
1,72,1218
1,81,488
1,92,0
2,11,14
2,21,0
2,22,0
2,23,2316
2,31,1156
2,32,1597
2,33,2555
2,42,1445
2,44,2364
2,45,684
2,48,1539
2,49,538
2,51,226
2,52,1864
2,53,436
2,54,2149
2,55,757
2,56,2373
2,61,598
2,62,16879
2,71,525
2,72,2477
2,81,1609
2,92,0
3,11,6
3,21,0
3,22,0
3,23,2436
3,31,1503
3,32,2078
3,33,3323
3,42,5749
3,44,6117
3,45,1771
3,48,838
3,49,293
3,51,237
3,52,1758
3,53,742
3,54,4989
3,55,3804
3,56,5101
3,61,1091
3,62,9328
3,71,242
3,72,4569
3,81,2508
3,92,0
4,11,0
4,21,0
4,22,3
4,23,2745
4,31,631
4,32,871
4,33,1394
4,42,6008
4,44,6097
4,45,1766
4,48,1181
4,49,413
4,51,1960
4,52,7150
4,53,1064
4,54,7524
4,55,14618
4,56,5307
4,61,1519
4,62,10779
4,71,1746
4,72,7541
4,81,3305
4,92,0
5,11,34
5,21,0
5,22,0
5,23,440
5,31,28
5,32,39
5,33,61
5,42,258
5,44,1629
5,45,472
5,48,30
5,49,10
5,51,297
5,52,866
5,53,402
5,54,2035
5,55,795
5,56,1160
5,61,1584
5,62,7812
5,71,439
5,72,1889
5,81,1405
5,92,0
6,11,18
6,21,1
6,22,0
6,23,1038
6,31,336
6,32,465
6,33,744
6,42,1163
6,44,2492
6,45,721
6,48,189
6,49,66
6,51,129
6,52,243
6,53,87
6,54,581
6,55,63
6,56,2323
6,61,3157
6,62,1781
6,71,160
6,72,1445
6,81,879
6,92,0
7,11,16
7,21,0
7,22,0
7,23,1949
7,31,592
7,32,818
7,33,1309
7,42,5219
7,44,7931
7,45,2296
7,48,738
7,49,258
7,51,6163
7,52,5330
7,53,993
7,54,11061
7,55,3043
7,56,10024
7,61,766
7,62,9748
7,71,635
7,72,6843
7,81,2939
7,92,0
8,11,0
8,21,1
8,22,0
8,23,5621
8,31,2346
8,32,3242
8,33,5186
8,42,8064
8,44,2775
8,45,803
8,48,3505
8,49,1225
8,51,502
8,52,3521
8,53,681
8,54,4196
8,55,1611
8,56,6760
8,61,869
8,62,7554
8,71,129
8,72,4189
8,81,2589
8,92,0
9,11,10
9,21,0
9,22,3
9,23,2365
9,31,939
9,32,1297
9,33,2075
9,42,4119
9,44,5348
9,45,1548
9,48,2591
9,49,906
9,51,1019
9,52,1644
9,53,1521
9,54,2941
9,55,4611
9,56,5845
9,61,1063
9,62,13863
9,71,1574
9,72,7462
9,81,3317
9,92,0
10,11,28
10,21,0
10,22,0
10,23,2910
10,31,2353
10,32,3252
10,33,5202
10,42,6226
10,44,10639
10,45,3080
10,48,2023
10,49,707
10,51,1714
10,52,2014
10,53,1192
10,54,4445
10,55,963
10,56,5056
10,61,1425
10,62,20227
10,71,832
10,72,6639
10,81,3615
10,92,0
11,11,0
11,21,0
11,22,0
11,23,162
11,31,376
11,32,520
11,33,832
11,42,321
11,44,1947
11,45,564
11,48,49
11,49,17
11,51,1259
11,52,1287
11,53,610
11,54,2029
11,55,154
11,56,1453
11,61,13754
11,62,9460
11,71,773
11,72,3315
11,81,1935
11,92,0
12,11,0
12,21,0
12,22,3
12,23,3308
12,31,3342
12,32,4617
12,33,7386
12,42,6731
12,44,4720
12,45,1367
12,48,23355
12,49,8166
12,51,2618
12,52,2982
12,53,1290
12,54,6141
12,55,6498
12,56,13888
12,61,970
12,62,12013
12,71,409
12,72,9406
12,81,3039
12,92,0
13,11,0
13,21,0
13,22,38
13,23,4574
13,31,2137
13,32,2953
13,33,4724
13,42,5113
13,44,11527
13,45,3337
13,48,945
13,49,331
13,51,1708
13,52,3802
13,53,1861
13,54,3411
13,55,76
13,56,7391
13,61,3579
13,62,20043
13,71,1562
13,72,10600
13,81,5571
13,92,0
14,11,36
14,21,0
14,22,0
14,23,3480
14,31,706
14,32,976
14,33,1561
14,42,2191
14,44,10242
14,45,2965
14,48,1301
14,49,455
14,51,2693
14,52,3685
14,53,2637
14,54,5620
14,55,1828
14,56,6283
14,61,5410
14,62,23676
14,71,3688
14,72,18405
14,81,6647
14,92,0
15,11,20
15,21,0
15,22,13
15,23,2527
15,31,1935
15,32,2673
15,33,4277
15,42,3982
15,44,6514
15,45,1886
15,48,1270
15,49,444
15,51,433
15,52,1409
15,53,382
15,54,2104
15,55,260
15,56,5782
15,61,3468
15,62,13139
15,71,1081
15,72,3310
15,81,2257
15,92,0
16,11,34
16,21,1
16,22,0
16,23,3544
16,31,2608
16,32,3604
16,33,5765
16,42,5099
16,44,6288
16,45,1820
16,48,1511
16,49,528
16,51,313
16,52,1607
16,53,783
16,54,4034
16,55,6
16,56,8503
16,61,2549
16,62,20745
16,71,609
16,72,6906
16,81,4300
16,92,0
17,11,48
17,21,51
17,22,73
17,23,8906
17,31,2086
17,32,2882
17,33,4611
17,42,19261
17,44,20452
17,45,5921
17,48,6180
17,49,2161
17,51,31537
17,52,98278
17,53,16996
17,54,117718
17,55,18576
17,56,67731
17,61,30031
17,62,63903
17,71,11084
17,72,65295
17,81,37717
17,92,0
18,11,52
18,21,0
18,22,1
18,23,3163
18,31,1294
18,32,1789
18,33,2861
18,42,2152
18,44,4326
18,45,1252
18,48,7240
18,49,2532
18,51,762
18,52,897
18,53,331
18,54,1476
18,55,523
18,56,2034
18,61,392
18,62,4513
18,71,642
18,72,4142
18,81,2440
18,92,0
19,11,86
19,21,0
19,22,25
19,23,1380
19,31,2181
19,32,3013
19,33,4820
19,42,5389
19,44,5907
19,45,1710
19,48,8304
19,49,2903
19,51,334
19,52,1567
19,53,476
19,54,1516
19,55,315
19,56,4420
19,61,1294
19,62,5007
19,71,304
19,72,5698
19,81,2731
19,92,0
20,11,8
20,21,1
20,22,1
20,23,1122
20,31,1000
20,32,1383
20,33,2212
20,42,2244
20,44,4701
20,45,1361
20,48,1000
20,49,350
20,51,183
20,52,760
20,53,1376
20,54,1905
20,55,32
20,56,3373
20,61,14782
20,62,14642
20,71,572
20,72,2953
20,81,3147
20,92,0
21,11,0
21,21,1
21,22,0
21,23,627
21,31,34
21,32,47
21,33,76
21,42,584
21,44,545
21,45,158
21,48,316
21,49,110
21,51,12
21,52,133
21,53,96
21,54,182
21,55,5
21,56,402
21,61,201
21,62,1512
21,71,102
21,72,533
21,81,228
21,92,0
22,11,24
22,21,0
22,22,0
22,23,1877
22,31,133
22,32,184
22,33,294
22,42,1092
22,44,1061
22,45,307
22,48,763
22,49,267
22,51,74
22,52,1032
22,53,408
22,54,1632
22,55,426
22,56,1388
22,61,254
22,62,5266
22,71,112
22,72,1507
22,81,859
22,92,0
23,11,0
23,21,0
23,22,1
23,23,2356
23,31,828
23,32,1144
23,33,1831
23,42,3661
23,44,7340
23,45,2125
23,48,1469
23,49,514
23,51,347
23,52,1336
23,53,350
23,54,965
23,55,459
23,56,8148
23,61,3203
23,62,14424
23,71,493
23,72,5868
23,81,2517
23,92,0
24,11,4
24,21,1
24,22,0
24,23,559
24,31,1445
24,32,1997
24,33,3193
24,42,1938
24,44,2433
24,45,705
24,48,1660
24,49,580
24,51,102
24,52,1054
24,53,156
24,54,737
24,55,86
24,56,1455
24,61,1112
24,62,6552
24,71,98
24,72,2456
24,81,1310
24,92,0
25,11,64
25,21,0
25,22,0
25,23,1098
25,31,44
25,32,61
25,33,98
25,42,518
25,44,6014
25,45,1741
25,48,213
25,49,74
25,51,325
25,52,843
25,53,200
25,54,981
25,55,6
25,56,2711
25,61,514
25,62,3176
25,71,1020
25,72,4178
25,81,1470
25,92,0
26,11,22
26,21,0
26,22,0
26,23,1605
26,31,180
26,32,249
26,33,399
26,42,976
26,44,2280
26,45,660
26,48,1619
26,49,566
26,51,317
26,52,822
26,53,681
26,54,697
26,55,108
26,56,1566
26,61,250
26,62,4431
26,71,201
26,72,2598
26,81,1312
26,92,0
27,11,270
27,21,0
27,22,1
27,23,2110
27,31,1223
27,32,1689
27,33,2703
27,42,2238
27,44,5171
27,45,1497
27,48,1978
27,49,691
27,51,400
27,52,552
27,53,258
27,54,1607
27,55,117
27,56,3045
27,61,792
27,62,8486
27,71,302
27,72,3750
27,81,1993
27,92,0
28,11,8
28,21,0
28,22,0
28,23,194
28,31,100
28,32,138
28,33,221
28,42,339
28,44,2545
28,45,737
28,48,39
28,49,14
28,51,100
28,52,441
28,53,164
28,54,348
28,55,265
28,56,782
28,61,313
28,62,3469
28,71,361
28,72,1948
28,81,622
28,92,0
29,11,72
29,21,1
29,22,0
29,23,691
29,31,876
29,32,1210
29,33,1935
29,42,692
29,44,1056
29,45,306
29,48,1657
29,49,580
29,51,102
29,52,196
29,53,209
29,54,519
29,55,0
29,56,586
29,61,291
29,62,4360
29,71,119
29,72,1265
29,81,599
29,92,0
30,11,31
30,21,2
30,22,0
30,23,49
30,31,0
30,32,124
30,33,138
30,42,82
30,44,51
30,45,38
30,48,7
30,49,0
30,51,1
30,52,90
30,53,0
30,54,5
30,55,0
30,56,18
30,61,8
30,62,196
30,71,3
30,72,35
30,81,48
30,92,0
31,11,51
31,21,0
31,22,0
31,23,9
31,31,0
31,32,7
31,33,8
31,42,1
31,44,1
31,45,1
31,48,3
31,49,0
31,51,0
31,52,0
31,53,0
31,54,17
31,55,0
31,56,1
31,61,0
31,62,4
31,71,0
31,72,12
31,81,6
31,92,0
32,11,25
32,21,0
32,22,0
32,23,3
32,31,0
32,32,69
32,33,77
32,42,19
32,44,4
32,45,3
32,48,1
32,49,0
32,51,1
32,52,0
32,53,0
32,54,10
32,55,40
32,56,9
32,61,0
32,62,0
32,71,3
32,72,12
32,81,2
32,92,0
33,11,4
33,21,0
33,22,0
33,23,473
33,31,0
33,32,401
33,33,446
33,42,63
33,44,198
33,45,149
33,48,10
33,49,0
33,51,31
33,52,33
33,53,20
33,54,52
33,55,0
33,56,137
33,61,0
33,62,53
33,71,36
33,72,352
33,81,123
33,92,0
34,11,9
34,21,0
34,22,0
34,23,36
34,31,0
34,32,3
34,33,3
34,42,9
34,44,155
34,45,117
34,48,123
34,49,0
34,51,0
34,52,15
34,53,0
34,54,12
34,55,0
34,56,0
34,61,0
34,62,44
34,71,0
34,72,129
34,81,16
34,92,0
35,11,18
35,21,0
35,22,0
35,23,113
35,31,0
35,32,17
35,33,19
35,42,22
35,44,5
35,45,4
35,48,4
35,49,0
35,51,2
35,52,0
35,53,4
35,54,10
35,55,0
35,56,103
35,61,0
35,62,0
35,71,0
35,72,46
35,81,158
35,92,0
36,11,14
36,21,5
36,22,0
36,23,125
36,31,0
36,32,1
36,33,1
36,42,6
36,44,22
36,45,16
36,48,10
36,49,0
36,51,6
36,52,7
36,53,9
36,54,95
36,55,0
36,56,72
36,61,0
36,62,82
36,71,0
36,72,15
36,81,28
36,92,0
37,11,27
37,21,2
37,22,0
37,23,566
37,31,0
37,32,100
37,33,111
37,42,398
37,44,1184
37,45,892
37,48,72
37,49,0
37,51,110
37,52,298
37,53,161
37,54,289
37,55,0
37,56,228
37,61,47
37,62,443
37,71,103
37,72,1252
37,81,384
37,92,0
38,11,89
38,21,0
38,22,0
38,23,120
38,31,0
38,32,171
38,33,191
38,42,13
38,44,99
38,45,74
38,48,17
38,49,0
38,51,0
38,52,88
38,53,22
38,54,29
38,55,0
38,56,141
38,61,2
38,62,68
38,71,0
38,72,100
38,81,105
38,92,0
39,11,69
39,21,0
39,22,0
39,23,41
39,31,0
39,32,8
39,33,9
39,42,24
39,44,1
39,45,1
39,48,12
39,49,0
39,51,0
39,52,2
39,53,13
39,54,9
39,55,0
39,56,19
39,61,0
39,62,0
39,71,41
39,72,248
39,81,16
39,92,0
40,11,33
40,21,0
40,22,0
40,23,220
40,31,0
40,32,371
40,33,412
40,42,224
40,44,958
40,45,721
40,48,16
40,49,0
40,51,85
40,52,339
40,53,135
40,54,321
40,55,138
40,56,897
40,61,82
40,62,694
40,71,63
40,72,689
40,81,318
40,92,0
41,11,121
41,21,16
41,22,4
41,23,469
41,31,0
41,32,615
41,33,683
41,42,866
41,44,521
41,45,392
41,48,116
41,49,0
41,51,13
41,52,760
41,53,100
41,54,933
41,55,135
41,56,220
41,61,70
41,62,3102
41,71,171
41,72,1252
41,81,613
41,92,0
42,11,11
42,21,0
42,22,0
42,23,120
42,31,0
42,32,55
42,33,61
42,42,11
42,44,2
42,45,2
42,48,1
42,49,0
42,51,0
42,52,0
42,53,0
42,54,12
42,55,0
42,56,4
42,61,0
42,62,0
42,71,1
42,72,0
42,81,8
42,92,0
43,11,27
43,21,0
43,22,0
43,23,633
43,31,0
43,32,140
43,33,156
43,42,39
43,44,20
43,45,15
43,48,10
43,49,0
43,51,0
43,52,9
43,53,4
43,54,30
43,55,0
43,56,66
43,61,0
43,62,1
43,71,32
43,72,41
43,81,43
43,92,0
44,11,34
44,21,0
44,22,0
44,23,364
44,31,0
44,32,147
44,33,163
44,42,176
44,44,135
44,45,101
44,48,79
44,49,0
44,51,10
44,52,96
44,53,54
44,54,221
44,55,0
44,56,148
44,61,37
44,62,240
44,71,250
44,72,431
44,81,350
44,92,0
45,11,62
45,21,22
45,22,0
45,23,1045
45,31,0
45,32,905
45,33,1006
45,42,568
45,44,3545
45,45,2669
45,48,272
45,49,0
45,51,317
45,52,719
45,53,194
45,54,796
45,55,1008
45,56,705
45,61,208
45,62,1412
45,71,692
45,72,3702
45,81,1412
45,92,0
46,11,3
46,21,0
46,22,0
46,23,103
46,31,0
46,32,3
46,33,3
46,42,48
46,44,6
46,45,2
46,48,4
46,49,2
46,51,0
46,52,0
46,53,1
46,54,24
46,55,0
46,56,71
46,61,0
46,62,134
46,71,16
46,72,78
46,81,22
46,92,0
47,11,43
47,21,0
47,22,0
47,23,320
47,31,4
47,32,40
47,33,46
47,42,355
47,44,810
47,45,223
47,48,13
47,49,8
47,51,19
47,52,210
47,53,40
47,54,148
47,55,0
47,56,278
47,61,72
47,62,1403
47,71,41
47,72,870
47,81,236
47,92,0
48,11,24
48,21,0
48,22,0
48,23,179
48,31,1
48,32,8
48,33,10
48,42,114
48,44,20
48,45,6
48,48,96
48,49,61
48,51,0
48,52,1
48,53,1
48,54,31
48,55,0
48,56,477
48,61,81
48,62,238
48,71,3
48,72,97
48,81,58
48,92,0
49,11,17
49,21,0
49,22,0
49,23,181
49,31,2
49,32,23
49,33,26
49,42,125
49,44,645
49,45,178
49,48,12
49,49,7
49,51,11
49,52,60
49,53,22
49,54,27
49,55,0
49,56,765
49,61,87
49,62,2298
49,71,39
49,72,797
49,81,251
49,92,0
50,11,54
50,21,0
50,22,0
50,23,277
50,31,21
50,32,246
50,33,282
50,42,67
50,44,433
50,45,119
50,48,23
50,49,15
50,51,35
50,52,74
50,53,24
50,54,95
50,55,0
50,56,122
50,61,102
50,62,140
50,71,42
50,72,448
50,81,148
50,92,0
51,11,6
51,21,0
51,22,0
51,23,612
51,31,9
51,32,97
51,33,111
51,42,494
51,44,1093
51,45,302
51,48,271
51,49,172
51,51,59
51,52,197
51,53,83
51,54,352
51,55,0
51,56,739
51,61,277
51,62,1373
51,71,113
51,72,1302
51,81,492
51,92,0
52,11,14
52,21,0
52,22,0
52,23,654
52,31,26
52,32,293
52,33,336
52,42,3771
52,44,3195
52,45,882
52,48,282
52,49,179
52,51,135
52,52,1038
52,53,276
52,54,549
52,55,0
52,56,814
52,61,274
52,62,1536
52,71,1503
52,72,3648
52,81,824
52,92,0
53,11,3
53,21,0
53,22,0
53,23,486
53,31,108
53,32,1235
53,33,1418
53,42,1328
53,44,1303
53,45,359
53,48,59
53,49,37
53,51,347
53,52,610
53,53,86
53,54,386
53,55,101
53,56,861
53,61,189
53,62,2407
53,71,300
53,72,1040
53,81,829
53,92,0
54,11,84
54,21,0
54,22,0
54,23,718
54,31,10
54,32,112
54,33,129
54,42,1498
54,44,374
54,45,103
54,48,22
54,49,14
54,51,28
54,52,116
54,53,20
54,54,203
54,55,28
54,56,1590
54,61,94
54,62,497
54,71,111
54,72,763
54,81,459
54,92,0
55,11,30
55,21,0
55,22,0
55,23,211
55,31,6
55,32,69
55,33,79
55,42,848
55,44,477
55,45,132
55,48,160
55,49,101
55,51,142
55,52,646
55,53,26
55,54,126
55,55,0
55,56,880
55,61,113
55,62,339
55,71,137
55,72,226
55,81,301
55,92,0
56,11,23
56,21,0
56,22,0
56,23,1790
56,31,69
56,32,792
56,33,909
56,42,3739
56,44,3007
56,45,830
56,48,175
56,49,111
56,51,212
56,52,2480
56,53,540
56,54,2960
56,55,6268
56,56,4203
56,61,1191
56,62,2385
56,71,576
56,72,2189
56,81,1407
56,92,0
57,11,17
57,21,0
57,22,0
57,23,311
57,31,10
57,32,116
57,33,133
57,42,1335
57,44,962
57,45,266
57,48,504
57,49,319
57,51,6
57,52,1527
57,53,142
57,54,420
57,55,48
57,56,1042
57,61,1524
57,62,2591
57,71,489
57,72,1138
57,81,676
57,92,0
58,11,0
58,21,0
58,22,0
58,23,1121
58,31,5
58,32,56
58,33,64
58,42,391
58,44,331
58,45,92
58,48,17
58,49,11
58,51,20
58,52,197
58,53,346
58,54,286
58,55,1792
58,56,393
58,61,250
58,62,2781
58,71,224
58,72,442
58,81,389
58,92,0
59,11,27
59,21,0
59,22,0
59,23,733
59,31,38
59,32,439
59,33,504
59,42,906
59,44,1753
59,45,484
59,48,448
59,49,284
59,51,39
59,52,2235
59,53,156
59,54,595
59,55,0
59,56,2596
59,61,193
59,62,1266
59,71,175
59,72,2034
59,81,1037
59,92,0
60,11,133
60,21,0
60,22,0
60,23,1102
60,31,60
60,32,690
60,33,792
60,42,9988
60,44,3846
60,45,1062
60,48,257
60,49,162
60,51,1434
60,52,3423
60,53,440
60,54,6109
60,55,6124
60,56,5990
60,61,469
60,62,3418
60,71,875
60,72,5305
60,81,1619
60,92,0
61,11,18
61,21,0
61,22,0
61,23,940
61,31,24
61,32,275
61,33,316
61,42,5683
61,44,2610
61,45,720
61,48,46
61,49,29
61,51,291
61,52,1908
61,53,400
61,54,2429
61,55,5655
61,56,1780
61,61,1323
61,62,5122
61,71,776
61,72,2857
61,81,1730
61,92,0
62,11,88
62,21,0
62,22,0
62,23,150
62,31,24
62,32,116
62,33,119
62,42,42
62,44,128
62,45,59
62,48,19
62,49,6
62,51,0
62,52,69
62,53,18
62,54,23
62,55,0
62,56,448
62,61,36
62,62,27
62,71,40
62,72,110
62,81,105
62,92,0
63,11,66
63,21,0
63,22,0
63,23,254
63,31,21
63,32,103
63,33,106
63,42,299
63,44,426
63,45,198
63,48,75
63,49,21
63,51,3
63,52,15
63,53,16
63,54,134
63,55,0
63,56,647
63,61,18
63,62,123
63,71,26
63,72,368
63,81,144
63,92,0
64,11,4
64,21,0
