Country,Commodity_NAICS6,USExpVal,FAFZONE,ctrycod,CBPZONE
Afghanistan,111130,1296784,806,1,124
Afghanistan,111140,9894311,806,1,124
Afghanistan,111335,70200,806,1,124
Afghanistan,111421,9250,806,1,124
Afghanistan,111998,27300,806,1,124
Afghanistan,112990,802900,806,1,124
Afghanistan,113210,55029,806,1,124
Afghanistan,114111,44706,806,1,124
Afghanistan,114112,34129,806,1,124
Afghanistan,211112,44260,806,1,124
Afghanistan,212322,78234,806,1,124
Afghanistan,212325,37023,806,1,124
Afghanistan,212393,12944,806,1,124
Afghanistan,311119,6962,806,1,124
Afghanistan,311211,1452138,806,1,124
Afghanistan,311212,2632576,806,1,124
Afghanistan,311222,189358,806,1,124
Afghanistan,311223,8916724,806,1,124
Afghanistan,311225,17001290,806,1,124
Afghanistan,311230,379143,806,1,124
Afghanistan,311311,44171,806,1,124
Afghanistan,311320,16462,806,1,124
Afghanistan,311411,19820,806,1,124
Afghanistan,311421,85763,806,1,124
Afghanistan,311423,46848,806,1,124
Afghanistan,311513,66343,806,1,124
Afghanistan,311514,449179,806,1,124
Afghanistan,311611,1016750,806,1,124
Afghanistan,311615,36512844,806,1,124
Afghanistan,311811,185274,806,1,124
Afghanistan,311822,101532,806,1,124
Afghanistan,311911,35153,806,1,124
Afghanistan,311919,41650,806,1,124
Afghanistan,311920,14000,806,1,124
Afghanistan,311930,6240,806,1,124
Afghanistan,311941,236401,806,1,124
Afghanistan,311999,463715,806,1,124
Afghanistan,312111,231766,806,1,124
Afghanistan,312229,70866,806,1,124
Afghanistan,313111,10127,806,1,124
Afghanistan,313210,973564,806,1,124
Afghanistan,313221,288242,806,1,124
Afghanistan,313230,4471,806,1,124
Afghanistan,313320,50669,806,1,124
Afghanistan,314110,49170,806,1,124
Afghanistan,314129,502816,806,1,124
Afghanistan,314911,844815,806,1,124
Afghanistan,314912,12715461,806,1,124
Afghanistan,314991,49668,806,1,124
Afghanistan,314999,4278785,806,1,124
Afghanistan,315111,79608,806,1,124
Afghanistan,315221,163935,806,1,124
Afghanistan,315222,866439,806,1,124
Afghanistan,315223,865797,806,1,124
Afghanistan,315224,756741,806,1,124
Afghanistan,315228,9534099,806,1,124
Afghanistan,315232,93552,806,1,124
Afghanistan,315239,290935,806,1,124
Afghanistan,315292,110312,806,1,124
Afghanistan,315991,191692,806,1,124
Afghanistan,315992,290535,806,1,124
Afghanistan,315999,1396421,806,1,124
Afghanistan,316110,2802,806,1,124
Afghanistan,316211,311028,806,1,124
Afghanistan,316213,667714,806,1,124
Afghanistan,316219,189065,806,1,124
Afghanistan,316991,2176227,806,1,124
Afghanistan,316992,6306,806,1,124
Afghanistan,316993,157695,806,1,124
Afghanistan,316999,8963,806,1,124
Afghanistan,321114,2984,806,1,124
Afghanistan,321211,3977,806,1,124
Afghanistan,321212,472785,806,1,124
Afghanistan,321213,76168,806,1,124
Afghanistan,321219,6578,806,1,124
Afghanistan,321911,32783,806,1,124
Afghanistan,321918,37427,806,1,124
Afghanistan,321920,1611528,806,1,124
Afghanistan,321992,627000,806,1,124
Afghanistan,321999,876308,806,1,124
Afghanistan,322110,114190,806,1,124
Afghanistan,322121,316032,806,1,124
Afghanistan,322122,2736,806,1,124
Afghanistan,322130,255742,806,1,124
Afghanistan,322211,16585,806,1,124
Afghanistan,322212,5936,806,1,124
Afghanistan,322213,40190,806,1,124
Afghanistan,322215,321830,806,1,124
Afghanistan,322222,417866,806,1,124
Afghanistan,322223,628796,806,1,124
Afghanistan,322233,28506,806,1,124
Afghanistan,322291,1584989,806,1,124
Afghanistan,322299,153637,806,1,124
Afghanistan,323117,422621,806,1,124
Afghanistan,323118,53287,806,1,124
Afghanistan,323119,1111054,806,1,124
Afghanistan,324110,2089801,806,1,124
Afghanistan,325120,858418,806,1,124
Afghanistan,325132,3784,806,1,124
Afghanistan,325188,212899,806,1,124
Afghanistan,325191,36395,806,1,124
Afghanistan,325192,6240,806,1,124
Afghanistan,325193,3560,806,1,124
Afghanistan,325199,1409206,806,1,124
Afghanistan,325211,570493,806,1,124
Afghanistan,325212,51898,806,1,124
Afghanistan,325222,5750,806,1,124
Afghanistan,325311,4952,806,1,124
Afghanistan,325312,6200,806,1,124
Afghanistan,325320,221321,806,1,124
Afghanistan,325412,2061702,806,1,124
Afghanistan,325414,17799,806,1,124
Afghanistan,325510,455345,806,1,124
Afghanistan,325520,417886,806,1,124
Afghanistan,325611,1481425,806,1,124
Afghanistan,325612,12741,806,1,124
Afghanistan,325613,601570,806,1,124
Afghanistan,325620,1033387,806,1,124
Afghanistan,325910,612071,806,1,124
Afghanistan,325920,545825,806,1,124
Afghanistan,325992,55343,806,1,124
Afghanistan,325998,7374606,806,1,124
Afghanistan,326113,354512,806,1,124
Afghanistan,326122,4356248,806,1,124
Afghanistan,326160,5796,806,1,124
Afghanistan,326191,851982,806,1,124
Afghanistan,326192,273247,806,1,124
Afghanistan,326199,38951493,806,1,124
Afghanistan,326211,758837,806,1,124
Afghanistan,326212,8720,806,1,124
Afghanistan,326220,879910,806,1,124
Afghanistan,326299,770040,806,1,124
Afghanistan,327111,263332,806,1,124
Afghanistan,327112,156359,806,1,124
Afghanistan,327113,434598,806,1,124
Afghanistan,327124,44700,806,1,124
Afghanistan,327125,3800,806,1,124
Afghanistan,327211,1071511,806,1,124
Afghanistan,327212,167094,806,1,124
Afghanistan,327213,3600,806,1,124
Afghanistan,327215,1052948,806,1,124
Afghanistan,327310,19793,806,1,124
Afghanistan,327390,350291,806,1,124
Afghanistan,327420,14080,806,1,124
Afghanistan,327910,59221,806,1,124
Afghanistan,327993,423826,806,1,124
Afghanistan,327999,15030,806,1,124
Afghanistan,331111,6159128,806,1,124
Afghanistan,331222,168158,806,1,124
Afghanistan,331315,434539,806,1,124
Afghanistan,331316,542722,806,1,124
Afghanistan,331319,2166814,806,1,124
Afghanistan,331411,23687,806,1,124
Afghanistan,331419,76275,806,1,124
Afghanistan,331421,180165,806,1,124
Afghanistan,331422,2658160,806,1,124
Afghanistan,331491,80624,806,1,124
Afghanistan,331511,443089,806,1,124
Afghanistan,332115,35761,806,1,124
Afghanistan,332211,337414,806,1,124
Afghanistan,332212,7278439,806,1,124
Afghanistan,332213,229274,806,1,124
Afghanistan,332214,168298,806,1,124
Afghanistan,332311,9318101,806,1,124
Afghanistan,332312,2593208,806,1,124
Afghanistan,332321,1112312,806,1,124
Afghanistan,332322,565273,806,1,124
Afghanistan,332323,129064,806,1,124
Afghanistan,332410,303864,806,1,124
Afghanistan,332420,2984696,806,1,124
Afghanistan,332439,427500,806,1,124
Afghanistan,332510,3410348,806,1,124
Afghanistan,332611,8175,806,1,124
Afghanistan,332618,410464,806,1,124
Afghanistan,332722,2830417,806,1,124
Afghanistan,332911,4422802,806,1,124
Afghanistan,332912,3543721,806,1,124
Afghanistan,332913,195912,806,1,124
Afghanistan,332919,870703,806,1,124
Afghanistan,332991,404752,806,1,124
Afghanistan,332992,15347045,806,1,124
Afghanistan,332994,18939892,806,1,124
Afghanistan,332995,14848141,806,1,124
Afghanistan,332998,347326,806,1,124
Afghanistan,332999,2989907,806,1,124
Afghanistan,333111,2451050,806,1,124
Afghanistan,333120,44190585,806,1,124
Afghanistan,333131,683412,806,1,124
Afghanistan,333132,137612,806,1,124
Afghanistan,333210,58180,806,1,124
Afghanistan,333220,109335,806,1,124
Afghanistan,333291,82947,806,1,124
Afghanistan,333292,96296,806,1,124
Afghanistan,333293,1437304,806,1,124
Afghanistan,333294,356264,806,1,124
Afghanistan,333295,900631,806,1,124
Afghanistan,333298,649350,806,1,124
Afghanistan,333311,3216,806,1,124
Afghanistan,333313,2732333,806,1,124
Afghanistan,333314,25920307,806,1,124
Afghanistan,333315,5086784,806,1,124
Afghanistan,333319,1123021,806,1,124
Afghanistan,333411,251717,806,1,124
Afghanistan,333412,837016,806,1,124
Afghanistan,333414,148082,806,1,124
Afghanistan,333415,37614161,806,1,124
