Country,Commodity_NAICS6,USImpVal,FAFZONE,ctrycod,CBPZONE
Afghanistan,111130,3228,806,1,124
Afghanistan,111335,6818,806,1,124
Afghanistan,111339,11042,806,1,124
Afghanistan,111998,1891008,806,1,124
Afghanistan,212399,10650,806,1,124
Afghanistan,311421,13065,806,1,124
Afghanistan,311423,500387,806,1,124
Afghanistan,311941,2982,806,1,124
Afghanistan,311942,4363,806,1,124
Afghanistan,313210,16379,806,1,124
Afghanistan,314110,2166011,806,1,124
Afghanistan,314129,4390,806,1,124
Afghanistan,314991,2745,806,1,124
Afghanistan,315234,436,806,1,124
Afghanistan,315239,1072,806,1,124
Afghanistan,315991,2501,806,1,124
Afghanistan,315999,18268,806,1,124
Afghanistan,316110,3368,806,1,124
Afghanistan,316991,1925,806,1,124
Afghanistan,316993,4701,806,1,124
Afghanistan,316999,916,806,1,124
Afghanistan,321211,8059,806,1,124
Afghanistan,322215,8867,806,1,124
Afghanistan,323117,10500,806,1,124
Afghanistan,323119,40723,806,1,124
Afghanistan,325414,11380,806,1,124
Afghanistan,325611,32331,806,1,124
Afghanistan,325613,20292,806,1,124
Afghanistan,325998,25407,806,1,124
Afghanistan,326192,446,806,1,124
Afghanistan,326199,3936,806,1,124
Afghanistan,327211,87292,806,1,124
Afghanistan,327212,22345,806,1,124
Afghanistan,332115,8598,806,1,124
Afghanistan,332212,100500,806,1,124
Afghanistan,332214,4570,806,1,124
Afghanistan,332911,10165,806,1,124
Afghanistan,333111,9532,806,1,124
Afghanistan,333999,3259,806,1,124
Afghanistan,334111,43025,806,1,124
Afghanistan,334112,2388,806,1,124
Afghanistan,334119,209475,806,1,124
Afghanistan,334210,24699,806,1,124
Afghanistan,334220,50322,806,1,124
Afghanistan,334411,15402,806,1,124
Afghanistan,334414,3495,806,1,124
Afghanistan,334418,3575,806,1,124
Afghanistan,334419,59511,806,1,124
Afghanistan,334511,72650,806,1,124
Afghanistan,334513,5500,806,1,124
Afghanistan,334515,63006,806,1,124
Afghanistan,334516,22850,806,1,124
Afghanistan,334519,9764,806,1,124
Afghanistan,334613,53075,806,1,124
Afghanistan,335911,17505,806,1,124
Afghanistan,335929,7126,806,1,124
Afghanistan,335999,3313,806,1,124
Afghanistan,336350,2512,806,1,124
Afghanistan,336399,20085,806,1,124
Afghanistan,336412,7615,806,1,124
Afghanistan,336510,5075,806,1,124
Afghanistan,336992,5928577,806,1,124
Afghanistan,337127,42706,806,1,124
Afghanistan,339911,74799,806,1,124
Afghanistan,339913,4720960,806,1,124
Afghanistan,339914,27706,806,1,124
Afghanistan,339991,4490,806,1,124
Afghanistan,920000,2157475,806,1,124
Afghanistan,980000,61705427,806,1,124
Afghanistan,990000,7041581,806,1,124
Albania,111339,6762,804,2,125
Albania,111998,5473916,804,2,125
Albania,113210,10116,804,2,125
Albania,311223,97800,804,2,125
Albania,311421,19438,804,2,125
Albania,311423,434741,804,2,125
Albania,311920,282291,804,2,125
Albania,311941,16581,804,2,125
Albania,311942,548705,804,2,125
Albania,312130,156204,804,2,125
Albania,314129,6023,804,2,125
Albania,315221,2938,804,2,125
Albania,315222,3435,804,2,125
Albania,315223,241474,804,2,125
Albania,315224,227065,804,2,125
Albania,315228,227569,804,2,125
Albania,315231,6647,804,2,125
Albania,315232,166670,804,2,125
Albania,315233,31036,804,2,125
Albania,315234,18036,804,2,125
Albania,315239,330734,804,2,125
Albania,315291,3041,804,2,125
Albania,315999,922000,804,2,125
Albania,316213,392888,804,2,125
Albania,316214,78143,804,2,125
Albania,316219,66207,804,2,125
Albania,316999,333,804,2,125
Albania,321999,126408,804,2,125
Albania,323117,3684,804,2,125
Albania,325188,7710,804,2,125
Albania,325211,1130,804,2,125
Albania,331112,20991513,804,2,125
Albania,333999,10319,804,2,125
Albania,334112,65606,804,2,125
Albania,334119,2721,804,2,125
Albania,334220,126004,804,2,125
Albania,334310,6019,804,2,125
Albania,334418,9482,804,2,125
Albania,334511,13345,804,2,125
Albania,334515,13182,804,2,125
Albania,335314,31055,804,2,125
Albania,336412,27880,804,2,125
Albania,337124,11169,804,2,125
Albania,337127,17481,804,2,125
Albania,337215,11681,804,2,125
Albania,339911,95682,804,2,125
Albania,339999,11815,804,2,125
Albania,920000,226828,804,2,125
Albania,980000,151454,804,2,125
Albania,990000,138255,804,2,125
Algeria,111339,257406,805,3,126
Algeria,211111,9774894157,805,3,126
Algeria,211112,1775885842,805,3,126
Algeria,311223,3426,805,3,126
Algeria,312130,22374,805,3,126
Algeria,314999,1188,805,3,126
Algeria,316992,2224,805,3,126
Algeria,322291,54153,805,3,126
Algeria,323117,13824,805,3,126
Algeria,324110,3383914602,805,3,126
Algeria,325120,19529,805,3,126
Algeria,326211,1504,805,3,126
Algeria,327310,1134690,805,3,126
Algeria,332420,1754718,805,3,126
Algeria,332911,5870,805,3,126
Algeria,333618,8340,805,3,126
Algeria,334413,2398,805,3,126
Algeria,334417,2307,805,3,126
