stop_zone,x_coord,y_coord
1,102.576,375.557
2,108.586,375.554
3,114.59,375.541
4,120.612,375.536
5,125.29,374.56
6,101.348,369.791
7,107.31,369.928
8,113.043,370.032
9,118.928,370.21
10,124.797,370.17
11,128.452,369.775
12,118.79,364.796
13,124.86,364.79
14,129.224,364.601
15,119.014,358.576
16,125.041,358.751
17,130.025,358.776
18,119.242,352.555
19,125.229,352.719
20,131.433,352.572
21,113.751,345.131
22,119.385,346.528
23,125.424,346.686
24,132.479,346.722
25,119.611,340.471
26,125.706,340.564
27,132.631,340.581
28,125.846,334.457
29,132.747,334.513
30,78.624,399.337
31,84.623,399.326
32,90.626,399.314
33,97.588,399.35
34,78.624,393.568
35,84.606,393.561
36,90.6,393.586
37,97.57,393.582
38,78.606,387.564
39,84.596,387.545
40,90.587,387.554
41,97.598,387.556
42,78.584,381.547
43,84.574,381.55
44,90.584,381.529
45,97.609,381.556
46,103.61,399.456
47,108.621,399.295
48,114.603,399.296
49,119.773,399.281
50,103.571,393.629
51,108.504,393.554
52,114.59,393.562
53,119.445,393.789
54,103.608,387.597
55,108.578,387.548
56,114.595,387.552
57,119.128,387.391
58,103.593,381.572
59,108.596,381.544
60,114.61,381.544
61,120.179,381.226
62,84.58,375.53
63,90.581,375.545
64,96.59,375.526
65,83.775,369.599
66,89.569,369.65
67,95.382,369.717
68,83.789,363.67
69,89.634,363.772
70,95.44,363.888
71,83.75,357.656
72,89.588,357.761
73,95.42,357.87
74,83.722,351.635
75,89.581,351.76
76,95.436,351.847
77,101.363,364.027
78,107.327,364.254
79,113.102,364.433
80,101.347,358.008
81,107.273,358.185
82,113.108,358.354
83,101.323,351.985
84,107.271,352.122
85,113.216,352.33
86,113.022,347.979
87,101.411,345.909
88,107.394,346.111
89,101.592,339.887
90,107.565,340.075
91,113.594,340.29
92,101.776,333.903
93,107.77,334.087
94,113.773,334.285
95,119.799,334.434
96,101.96,327.913
97,107.966,328.101
98,114.006,328.224
99,120.046,328.371
100,126.102,328.444
101,132.876,328.524
102,102.116,321.9
103,108.134,322.077
104,114.152,322.182
105,120.179,322.335
106,126.2,322.461
107,132.939,322.584
108,102.127,315.772
109,108.148,316.148
110,83.674,345.615
111,89.765,345.583
112,95.701,345.82
113,83.887,339.581
114,89.89,339.528
115,95.768,339.778
116,83.946,333.521
117,89.985,333.602
118,95.921,333.761
119,90.264,318.559
120,69.607,390.265
121,72.16,360.592
122,119.294,308.471
123,52.32,391.321
124,57.495,369.552
125,57.441,351.418
126,66.347,324.27
127,144.112,328.25
128,160.432,331.141
129,177.301,337.323
130,109.565,407.747
131,108.545,419.522
132,84.079,414.053
133,120.689,408.291
134,56.294,388.639
135,98.717,356.526
136,105.674,331.808
137,143.439,339.586
