COUNTY,MESOZONE,rank11,rank21,rank22,rank23,rank3133,rank42,rank4445,rank4849,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,rank99
17031,1,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17031,2,1,,,3,2,1,1,4,1,2,1,2,2,1,5,6,3,1,1,1,2
17031,3,3,1,1,5,5,6,5,1,1,2,2,4,3,4,3,1,5,2,4,3,2
17031,4,1,,1,6,3,5,7,2,3,4,5,4,7,3,2,3,6,6,3,1,3
17031,5,1,,,1,1,1,1,1,1,1,1,1,2,1,2,4,3,1,1,1,1
17031,6,,1,,1,1,1,2,1,1,1,1,1,,1,3,1,1,1,1,1,1
17031,7,3,,,2,2,3,5,1,6,4,3,5,4,4,1,2,5,5,3,4,2
17031,8,,1,,9,10,9,2,5,2,1,3,2,3,6,1,3,2,3,2,1,1
17031,9,1,1,1,4,3,3,4,4,2,2,5,2,1,2,4,3,2,5,5,2,3
17031,10,5,,,7,5,7,8,2,3,2,3,3,2,2,4,6,4,4,4,2,5
17031,11,,,,1,1,1,1,1,2,2,2,2,1,1,6,2,1,2,5,2,1
17031,12,,,1,7,10,8,3,6,4,3,2,3,5,7,3,5,3,5,3,2,5
17031,13,,,1,8,7,6,9,2,3,3,4,3,1,8,4,7,4,6,6,1,9
17031,14,4,,,6,1,3,9,1,4,3,6,3,1,2,2,8,7,7,7,,8
17031,15,1,1,1,5,6,4,5,5,2,1,1,2,1,5,5,4,4,2,3,4,4
17031,16,2,,1,3,9,4,6,3,1,2,3,2,1,5,5,8,3,4,6,4,7
17031,17,8,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
17031,18,3,,1,8,4,2,3,7,2,2,1,1,1,1,3,1,2,3,4,2,3
17031,19,,,1,2,6,5,6,6,1,3,2,1,1,3,1,1,1,4,2,1,6
17031,20,,1,1,1,3,2,3,3,1,1,4,1,1,1,6,5,2,2,4,1,4
17031,21,,2,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
17031,22,2,,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2
17031,23,,,1,4,2,2,7,1,1,1,1,1,1,4,3,3,2,3,2,3,2
17031,24,1,,,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1
17031,25,6,,,1,1,1,4,1,1,2,1,1,,1,1,1,2,2,1,2,1
17031,26,,,,2,2,1,2,4,1,1,2,1,1,2,1,1,1,1,1,3,4
17031,27,10,,1,4,4,2,4,3,2,1,1,1,1,2,4,4,1,3,2,3,3
17031,28,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17031,29,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
17111,30,2,1,,1,1,2,1,1,1,2,,1,,1,2,2,1,1,1,1,6
17111,31,3,,,1,1,1,,,,,,1,,,1,1,,1,1,,
17111,32,1,,,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,
17111,33,8,,,4,5,2,1,1,1,1,1,1,,2,1,1,1,1,2,2,
17111,34,1,,,1,1,1,1,5,,1,,1,,,1,1,,1,1,1,
17111,35,1,,,2,1,1,1,1,1,,2,1,,1,,1,1,1,1,1,
17111,36,1,,,2,1,1,1,1,1,1,1,2,,1,,1,1,,1,10,2
17111,37,2,,1,8,2,10,5,6,4,3,5,3,2,2,6,3,2,6,5,3,4
17111,38,5,,,1,3,1,1,2,1,1,1,1,,2,1,1,1,1,1,1,1
17111,39,4,,,1,1,1,1,1,,,,1,,1,1,1,1,2,1,1,
17111,40,2,,,3,4,4,3,2,6,4,7,5,2,6,10,2,2,3,3,4,1
17111,41,10,2,10,6,7,6,2,3,1,10,3,10,4,4,5,10,3,4,7,7,8
17111,42,1,,,1,1,1,,1,,,,1,,1,1,,1,,,1,1
17111,43,4,,,3,3,1,1,1,,1,1,1,,1,,,1,1,1,1,
17111,44,2,,,5,2,3,1,4,2,1,1,2,,1,3,1,6,2,4,2,3
17111,45,6,10,2,10,10,8,10,10,10,7,10,8,10,10,8,5,10,10,10,5,10
17097,46,1,10,,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,,1
17097,47,6,,,2,1,1,1,2,1,1,1,1,,1,1,2,1,1,1,1,1
17097,48,3,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1
17097,49,,,1,1,1,1,1,2,1,1,1,1,,1,2,6,1,2,1,2,1
17097,50,,,1,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
17097,51,1,,1,3,1,1,2,4,4,1,1,2,,2,9,2,3,3,2,4,3
17097,52,2,,,4,3,6,5,8,2,2,4,3,,5,7,3,6,6,8,3,6
17097,53,1,,2,2,10,3,2,7,5,2,2,2,1,10,4,5,3,3,9,10,3
17097,54,5,,,5,2,2,1,1,1,1,1,1,,3,1,1,1,1,2,1,2
17097,55,4,,10,1,1,1,2,1,3,3,1,1,,1,2,1,2,1,3,1,2
17097,56,1,,,10,7,4,4,10,4,7,10,4,3,8,5,4,8,5,6,5,9
17097,57,2,,,1,1,2,4,5,1,4,3,2,1,4,6,9,4,2,4,6,5
17097,58,1,,,8,1,1,1,1,2,1,5,1,1,1,3,1,2,2,2,1,1
17097,59,10,,,4,2,2,3,3,2,1,2,3,1,2,1,3,1,4,5,2,4
17097,60,8,,1,7,5,10,8,6,10,10,7,10,2,4,4,7,5,10,7,2,7
17097,61,2,1,,6,4,7,10,3,6,5,8,6,10,7,10,10,10,8,10,4,10
17089,62,10,,,1,1,1,1,1,1,1,2,1,,4,1,1,1,1,1,1,1
17089,63,7,,,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
17089,64,4,,,6,6,5,2,5,3,7,9,3,2,2,5,1,2,10,2,3,7
