Origin,Destination,Time
1,1,0.067
1,2,0.198
1,3,0.355
1,4,0.496
1,5,0.598
1,6,0.159
1,7,0.214
1,8,0.349
1,9,0.423
1,10,0.553
1,11,0.642
1,12,0.507
1,13,0.618
1,14,0.719
1,15,0.674
1,16,0.747
1,17,0.824
1,18,0.751
1,19,0.894
1,20,0.942
1,21,0.881
1,22,0.886
1,23,0.993
1,24,1.13
1,25,1.02
1,26,1.083
1,27,1.214
1,28,1.219
1,29,1.373
1,30,0.918
1,31,0.82
1,32,0.744
1,33,0.689
1,34,0.864
1,35,0.669
1,36,0.596
1,37,0.531
1,38,0.7
1,39,0.588
1,40,0.444
1,41,0.355
1,42,0.792
1,43,0.592
1,44,0.374
1,45,0.219
1,46,0.82
1,47,0.842
1,48,0.839
1,49,0.929
1,50,0.503
1,51,0.666
1,52,0.684
1,53,0.832
1,54,0.353
1,55,0.535
1,56,0.518
1,57,0.616
1,58,0.177
1,59,0.235
1,60,0.37
1,61,0.503
1,62,0.535
1,63,0.404
1,64,0.25
1,65,0.636
1,66,0.579
1,67,0.341
1,68,0.736
1,69,0.581
1,70,0.495
1,71,0.814
1,72,0.741
1,73,0.516
1,74,0.889
1,75,0.864
1,76,0.658
1,77,0.266
1,78,0.342
1,79,0.469
1,80,0.422
1,81,0.489
1,82,0.568
1,83,0.544
1,84,0.709
1,85,0.785
1,86,0.832
1,87,0.679
1,88,0.835
1,89,0.814
1,90,0.973
1,91,1
1,92,0.946
1,93,1.04
1,94,1.132
1,95,1.154
1,96,1.097
1,97,1.172
1,98,1.26
1,99,1.347
1,100,1.395
1,101,1.533
1,102,1.22
1,103,1.374
1,104,1.508
1,105,1.526
1,106,1.665
1,107,1.578
1,108,1.385
1,109,1.478
1,110,1.082
1,111,0.938
1,112,0.752
1,113,1.05
1,114,0.986
1,115,0.921
1,116,1.267
1,117,1.118
1,118,1.049
1,119,1.453
1,120,1.028
1,121,1.029
1,122,1.769
1,123,1.416
1,124,1.347
1,125,1.499
1,126,1.745
1,127,1.654
1,128,1.858
1,129,2.228
1,130,0.947
1,131,1.192
1,132,1.155
2,1,0.198
2,2,0.067
2,3,0.181
2,4,0.322
2,5,0.424
2,6,0.294
2,7,0.143
2,8,0.278
2,9,0.319
2,10,0.456
2,11,0.545
2,12,0.436
2,13,0.547
2,14,0.64
2,15,0.603
2,16,0.676
2,17,0.752
2,18,0.679
2,19,0.822
2,20,0.871
2,21,0.81
2,22,0.815
2,23,0.922
2,24,1.058
2,25,0.948
2,26,1.012
2,27,1.143
2,28,1.148
2,29,1.301
2,30,1.041
2,31,0.943
2,32,0.866
2,33,0.683
2,34,0.987
2,35,0.791
2,36,0.716
2,37,0.602
2,38,0.823
2,39,0.711
2,40,0.567
2,41,0.446
2,42,0.914
2,43,0.776
2,44,0.559
2,45,0.404
2,46,0.804
2,47,0.748
2,48,0.744
2,49,0.834
2,50,0.487
2,51,0.574
2,52,0.59
2,53,0.737
2,54,0.337
2,55,0.441
2,56,0.424
2,57,0.521
2,58,0.22
2,59,0.174
2,60,0.275
2,61,0.408
2,62,0.718
2,63,0.587
2,64,0.434
2,65,0.82
2,66,0.763
2,67,0.524
2,68,0.872
2,69,0.717
2,70,0.652
2,71,0.95
2,72,0.877
2,73,0.651
2,74,1.025
2,75,1
2,76,0.794
2,77,0.402
2,78,0.278
2,79,0.398
2,80,0.558
2,81,0.504
2,82,0.497
2,83,0.679
2,84,0.644
2,85,0.714
2,86,0.768
2,87,0.814
2,88,0.77
2,89,0.95
2,90,0.909
2,91,0.936
2,92,1.081
2,93,1.114
2,94,1.084
2,95,1.082
2,96,1.233
2,97,1.246
2,98,1.334
2,99,1.276
2,100,1.324
2,101,1.462
2,102,1.356
2,103,1.509
2,104,1.499
2,105,1.454
2,106,1.594
2,107,1.507
2,108,1.521
2,109,1.614
2,110,1.218
2,111,1.073
2,112,0.887
2,113,1.186
2,114,1.121
2,115,1.056
2,116,1.402
2,117,1.253
2,118,1.185
2,119,1.588
2,120,1.176
2,121,1.164
2,122,1.698
2,123,1.564
2,124,1.53
2,125,1.634
2,126,1.881
2,127,1.583
