Commodity_SCTG,UnitCost
1,1355.94
2,133.00
3,614.03
4,356.92
5,2816.09
6,1166.85
7,1026.68
8,1360.31
9,20490.77
10,170.43
11,14.06
12,10.39
13,55.30
14,266.57
15,27.84
16,437.38
17,684.93
18,560.53
19,395.68
20,734.93
21,42088.69
22,259.19
23,2725.26
24,2577.62
25,42.87
26,555.85
27,827.72
28,1358.59
29,3710.59
30,9918.93
31,177.76
32,1318.43
33,2788.85
34,9463.61
35,18307.17
36,6647.19
37,27324.74
38,51987.92
39,4665.30
40,6191.62
41,98.79
43,3100.02
99,1159.07
