CHID,CHDESC,VAR,TYPE,COEFF
1,"Direct, 4 Tires",asc1,Constant,0
2,"Direct, 6-8 Tires",asc2,Constant,-4.5
2,"Direct, 6-8 Tires",DO_Weight,Variable,0.412
2,"Direct, 6-8 Tires",PU_Weight,Variable,0.355
3,"Direct, Semi/Trailer",asc3,Constant,-4.41
3,"Direct, Semi/Trailer",DO_Weight,Variable,0.371
3,"Direct, Semi/Trailer",PU_Weight,Variable,0.401
3,"Direct, Semi/Trailer",Dest_Mac,Variable,1.19
4,"Peddling, 4 Tires",asc4,Constant,3.89
4,"Peddling, 4 Tires",Food,Variable,1.21
4,"Peddling, 4 Tires",DO_Weight,Variable,-0.209
4,"Peddling, 4 Tires",PU_Weight,Variable,-0.156
5,"Peddling, 6-8 Tires",asc5,Constant,-1.29
5,"Peddling, 6-8 Tires",Mac,Variable,-1.21
5,"Peddling, 6-8 Tires",DO_Weight,Variable,0.283
5,"Peddling, 6-8 Tires",PU_Weight,Variable,0.282
5,"Peddling, 6-8 Tires",Dest_Mac,Variable,1.41
5,"Peddling, 6-8 Tires",Dest_Office,Variable,-0.834
5,"Peddling, 6-8 Tires",CBP_EMP,Variable,0.137
6,"Peddling, Semi/Trailer",asc6,Constant,-2.94
6,"Peddling, Semi/Trailer",Mac,Variable,-0.294
6,"Peddling, Semi/Trailer",DO_Weight,Variable,0.263
6,"Peddling, Semi/Trailer",PU_Weight,Variable,0.263
6,"Peddling, Semi/Trailer",Dest_Mac,Variable,1.34
6,"Peddling, Semi/Trailer",Dest_Retail,Variable,0.928
6,"Peddling, Semi/Trailer",CBP_EMP,Variable,0.309
