Production_zone,Consumption_zone,poe
1,271,3634
2,271,3634
3,271,3634
4,271,3634
5,271,3634
6,271,3634
7,271,3634
8,271,3634
9,271,3634
10,271,3634
11,271,3634
12,271,3634
13,271,3634
14,271,3634
15,271,3634
16,271,3634
17,271,3634
18,271,3634
19,271,3634
20,271,3634
21,271,3634
22,271,3634
23,271,3634
24,271,3634
25,271,3634
26,271,3634
27,271,3634
28,271,3634
29,271,3634
30,271,3634
31,271,3634
32,271,3634
33,271,3634
34,271,3634
35,271,3634
36,271,3634
37,271,3634
38,271,3634
39,271,3634
40,271,3634
41,271,3634
42,271,3634
43,271,3634
44,271,3634
45,271,3634
46,271,3634
47,271,3634
48,271,3634
49,271,3634
50,271,3634
51,271,3634
52,271,3634
53,271,3634
54,271,3634
55,271,3634
56,271,3634
57,271,3634
58,271,3634
59,271,3634
60,271,3634
61,271,3634
62,271,3634
63,271,3634
64,271,3634
65,271,3634
66,271,3634
67,271,3634
68,271,3634
69,271,3634
70,271,3634
71,271,3634
72,271,3634
73,271,3634
74,271,3634
75,271,3634
76,271,3634
77,271,3634
78,271,3634
79,271,3634
80,271,3634
81,271,3634
82,271,3634
83,271,3634
84,271,3634
85,271,3634
86,271,3634
87,271,3634
88,271,3634
89,271,3634
90,271,3634
91,271,3634
92,271,3634
93,271,3634
94,271,3634
95,271,3634
96,271,3634
97,271,3634
98,271,3634
99,271,3634
100,271,3634
101,271,3634
102,271,3634
103,271,3634
104,271,3634
105,271,3634
106,271,3634
107,271,3634
108,271,3634
109,271,3634
110,271,3634
111,271,3634
112,271,3634
113,271,3634
114,271,3634
115,271,3634
116,271,3634
117,271,3634
118,271,3634
119,271,3634
120,271,3634
121,271,3634
122,271,3634
123,271,3634
124,271,3634
125,271,3634
126,271,3634
127,271,3634
128,271,3634
129,271,3634
130,271,3634
131,271,3634
132,271,3634
133,271,3634
134,271,3634
135,271,3634
136,271,3634
137,271,3634
138,271,3634
139,271,3634
141,271,3634
142,271,3634
144,271,3634
145,271,3634
146,271,3634
147,271,3634
148,271,3634
149,271,3634
150,271,3634
271,1,3634
271,2,3634
271,3,3634
271,4,3634
271,5,3634
271,6,3634
271,7,3634
271,8,3634
271,9,3634
271,10,3634
271,11,3634
271,12,3634
271,13,3634
271,14,3634
271,15,3634
271,16,3634
271,17,3634
271,18,3634
271,19,3634
271,20,3634
271,21,3634
271,22,3634
271,23,3634
271,24,3634
271,25,3634
271,26,3634
271,27,3634
271,28,3634
271,29,3634
271,30,3634
271,31,3634
271,32,3634
271,33,3634
271,34,3634
271,35,3634
271,36,3634
271,37,3634
271,38,3634
271,39,3634
271,40,3634
271,41,3634
271,42,3634
271,43,3634
271,44,3634
271,45,3634
271,46,3634
271,47,3634
271,48,3634
271,49,3634
271,50,3634
271,51,3634
271,52,3634
271,53,3634
271,54,3634
271,55,3634
271,56,3634
271,57,3634
271,58,3634
271,59,3634
271,60,3634
271,61,3634
271,62,3634
271,63,3634
271,64,3634
271,65,3634
271,66,3634
271,67,3634
271,68,3634
271,69,3634
271,70,3634
271,71,3634
271,72,3634
271,73,3634
271,74,3634
271,75,3634
271,76,3634
271,77,3634
271,78,3634
271,79,3634
271,80,3634
271,81,3634
271,82,3634
271,83,3634
271,84,3634
271,85,3634
271,86,3634
271,87,3634
271,88,3634
271,89,3634
271,90,3634
271,91,3634
271,92,3634
271,93,3634
271,94,3634
271,95,3634
271,96,3634
271,97,3634
271,98,3634
271,99,3634
271,100,3634
271,101,3634
271,102,3634
271,103,3634
271,104,3634
271,105,3634
271,106,3634
271,107,3634
271,108,3634
271,109,3634
271,110,3634
271,111,3634
271,112,3634
271,113,3634
271,114,3634
271,115,3634
271,116,3634
271,117,3634
271,118,3634
271,119,3634
271,120,3634
271,121,3634
271,122,3634
271,123,3634
271,124,3634
271,125,3634
271,126,3634
271,127,3634
271,128,3634
271,129,3634
271,130,3634
271,131,3634
271,132,3634
271,133,3634
271,134,3634
271,135,3634
271,136,3634
271,137,3634
271,138,3634
271,139,3634
271,141,3634
271,142,3634
271,144,3634
271,145,3634
271,146,3634
271,147,3634
271,148,3634
271,149,3634
271,150,3634
1,154,3636
1,206,3636
1,207,3636
1,212,3636
1,230,3636
1,239,3636
1,248,3636
1,268,3636
1,269,3636
1,272,3636
1,310,3636
2,154,3636
2,206,3636
2,207,3636
2,212,3636
2,230,3636
2,239,3636
2,248,3636
2,268,3636
2,269,3636
2,272,3636
2,310,3636
3,154,3636
3,206,3636
3,207,3636
3,212,3636
3,230,3636
3,239,3636
3,248,3636
3,268,3636
3,269,3636
3,272,3636
3,310,3636
4,154,3636
4,206,3636
4,207,3636
4,212,3636
4,230,3636
4,239,3636
4,248,3636
4,268,3636
4,269,3636
4,272,3636
4,310,3636
5,154,3636
5,206,3636
5,207,3636
5,212,3636
5,230,3636
5,239,3636
5,248,3636
5,268,3636
5,269,3636
5,272,3636
5,310,3636
6,154,3636
6,206,3636
6,207,3636
6,212,3636
6,230,3636
6,239,3636
6,248,3636
6,268,3636
6,269,3636
6,272,3636
6,310,3636
7,154,3636
7,206,3636
7,207,3636
7,212,3636
7,230,3636
7,239,3636
7,248,3636
7,268,3636
7,269,3636
7,272,3636
7,310,3636
8,154,3636
8,206,3636
8,207,3636
8,212,3636
8,230,3636
8,239,3636
8,248,3636
8,268,3636
8,269,3636
8,272,3636
8,310,3636
9,154,3636
9,206,3636
9,207,3636
9,212,3636
9,230,3636
9,239,3636
9,248,3636
9,268,3636
9,269,3636
9,272,3636
9,310,3636
10,154,3636
10,206,3636
10,207,3636
10,212,3636
10,230,3636
10,239,3636
10,248,3636
10,268,3636
10,269,3636
10,272,3636
10,310,3636
11,154,3636
11,206,3636
11,207,3636
11,212,3636
11,230,3636
11,239,3636
11,248,3636
11,268,3636
11,269,3636
11,272,3636
11,310,3636
12,154,3636
12,206,3636
12,207,3636
12,212,3636
12,230,3636
12,239,3636
12,248,3636
12,268,3636
12,269,3636
12,272,3636
12,310,3636
13,154,3636
13,206,3636
13,207,3636
13,212,3636
13,230,3636
13,239,3636
13,248,3636
13,268,3636
13,269,3636
13,272,3636
13,310,3636
14,154,3636
14,206,3636
14,207,3636
14,212,3636
14,230,3636
14,239,3636
14,248,3636
14,268,3636
14,269,3636
14,272,3636
14,310,3636
15,154,3636
15,206,3636
15,207,3636
15,212,3636
15,230,3636
15,239,3636
15,248,3636
15,268,3636
15,269,3636
15,272,3636
15,310,3636
16,154,3636
16,206,3636
16,207,3636
16,212,3636
16,230,3636
16,239,3636
16,248,3636
16,268,3636
16,269,3636
16,272,3636
16,310,3636
17,154,3636
17,206,3636
17,207,3636
17,212,3636
17,230,3636
17,239,3636
17,248,3636
17,268,3636
17,269,3636
17,272,3636
17,310,3636
18,154,3636
18,206,3636
18,207,3636
18,212,3636
18,230,3636
18,239,3636
18,248,3636
18,268,3636
18,269,3636
18,272,3636
18,310,3636
19,154,3636
19,206,3636
19,207,3636
19,212,3636
19,230,3636
19,239,3636
19,248,3636
19,268,3636
19,269,3636
19,272,3636
19,310,3636
20,154,3636
20,206,3636
20,207,3636
20,212,3636
20,230,3636
20,239,3636
20,248,3636
20,268,3636
20,269,3636
20,272,3636
20,310,3636
21,154,3636
21,206,3636
21,207,3636
21,212,3636
21,230,3636
21,248,3636
21,268,3636
21,269,3636
21,272,3636
21,310,3636
22,154,3636
22,206,3636
22,207,3636
22,212,3636
22,230,3636
22,248,3636
22,268,3636
22,269,3636
22,272,3636
22,310,3636
23,154,3636
23,206,3636
23,207,3636
23,212,3636
23,230,3636
23,248,3636
23,268,3636
23,269,3636
23,272,3636
23,310,3636
24,154,3636
24,206,3636
24,207,3636
24,212,3636
24,230,3636
24,239,3636
24,248,3636
24,268,3636
24,269,3636
24,272,3636
24,310,3636
25,154,3636
25,206,3636
25,207,3636
25,212,3636
25,230,3636
25,248,3636
25,268,3636
25,269,3636
25,272,3636
25,310,3636
26,154,3636
26,206,3636
26,207,3636
26,212,3636
26,230,3636
26,248,3636
26,268,3636
26,269,3636
26,272,3636
26,310,3636
27,154,3636
27,206,3636
27,207,3636
27,212,3636
27,230,3636
27,248,3636
27,268,3636
27,269,3636
27,272,3636
27,310,3636
28,154,3636
28,206,3636
28,207,3636
28,212,3636
28,230,3636
28,248,3636
28,268,3636
28,269,3636
28,272,3636
28,310,3636
29,154,3636
29,206,3636
29,207,3636
29,212,3636
29,230,3636
29,248,3636
29,268,3636
29,269,3636
29,272,3636
29,310,3636
30,154,3636
30,206,3636
30,207,3636
30,212,3636
30,230,3636
30,239,3636
30,240,3636
30,248,3636
30,268,3636
30,269,3636
30,272,3636
30,310,3636
31,154,3636
31,206,3636
31,207,3636
31,212,3636
31,230,3636
31,239,3636
31,240,3636
31,248,3636
31,268,3636
31,269,3636
31,272,3636
31,310,3636
32,154,3636
32,206,3636
32,207,3636
32,212,3636
32,230,3636
32,239,3636
32,240,3636
32,248,3636
32,268,3636
32,269,3636
32,272,3636
32,310,3636
33,154,3636
33,206,3636
33,207,3636
33,212,3636
33,230,3636
33,239,3636
33,240,3636
33,248,3636
33,268,3636
33,269,3636
33,272,3636
33,310,3636
34,154,3636
34,206,3636
34,207,3636
34,212,3636
34,230,3636
34,239,3636
34,240,3636
34,248,3636
34,268,3636
34,269,3636
34,272,3636
34,310,3636
35,154,3636
35,206,3636
35,207,3636
35,212,3636
35,230,3636
35,239,3636
35,240,3636
35,248,3636
35,268,3636
35,269,3636
35,272,3636
35,310,3636
36,154,3636
36,206,3636
36,207,3636
36,212,3636
36,230,3636
36,239,3636
36,240,3636
36,248,3636
36,268,3636
36,269,3636
36,272,3636
36,310,3636
37,154,3636
37,206,3636
37,207,3636
37,212,3636
37,230,3636
37,239,3636
37,240,3636
37,248,3636
37,268,3636
37,269,3636
37,272,3636
37,310,3636
38,154,3636
38,206,3636
38,207,3636
38,212,3636
38,230,3636
38,239,3636
38,240,3636
38,248,3636
38,268,3636
38,269,3636
38,272,3636
38,310,3636
39,154,3636
39,206,3636
