Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USExpVal
BURMA,111110,808,33,156,6930367
CURACAO,111110,803,55,178,51396
FRENCH POLYNESIA,111110,808,76,199,3368
HONG KONG,111110,807,96,219,360219
"KOREA, SOUTH",111110,807,113,236,462083112
SINT MAARTEN,111110,803,185,308,3416
ST KITTS AND NEVIS,111110,803,195,318,113883
ST LUCIA,111110,803,196,319,34704
ST VINCENT AND THE GRENADINES,111110,803,198,321,35826
TAIWAN,111110,807,205,328,1094686149
BURMA,111120,808,33,156,16006
FRENCH POLYNESIA,111120,808,76,199,4529
HONG KONG,111120,807,96,219,188257
"KOREA, SOUTH",111120,807,113,236,2556666
RUSSIA,111120,804,174,297,6240065
SINT MAARTEN,111120,803,185,308,10313
TAIWAN,111120,807,205,328,1223100
CABO VERDE,111130,805,35,158,90000
CONGO (BRAZZAVILLE),111130,805,48,171,328728
CONGO (KINSHASA),111130,805,49,172,1435299
CURACAO,111130,803,55,178,520004
FRENCH GUIANA,111130,803,75,198,1105176
FRENCH POLYNESIA,111130,808,76,199,1022643
GUADELOUPE,111130,803,88,211,3367242
HONG KONG,111130,807,96,219,831509
"KOREA, SOUTH",111130,807,113,236,5843168
MARTINIQUE,111130,803,135,258,933103
NEW CALEDONIA,111130,808,152,275,241742
REUNION,111130,805,172,295,235000
SINT MAARTEN,111130,803,185,308,317541
SOUTH SUDAN,111130,805,191,314,4092211
ST KITTS AND NEVIS,111130,803,195,318,160087
ST LUCIA,111130,803,196,319,791489
ST VINCENT AND THE GRENADINES,111130,803,198,321,27838
TAIWAN,111130,807,205,328,2414825
BURMA,111140,808,33,156,24527440
COTE D'IVOIRE,111140,805,52,175,1598720
HONG KONG,111140,807,96,219,1510020
"KOREA, SOUTH",111140,807,113,236,477510883
SINT MAARTEN,111140,803,185,308,294575
ST LUCIA,111140,803,196,319,598858
ST VINCENT AND THE GRENADINES,111140,803,198,321,8653503
TAIWAN,111140,807,205,328,364193032
COTE D'IVOIRE,111150,805,52,175,75028
CURACAO,111150,803,55,178,61201
FRENCH POLYNESIA,111150,808,76,199,1468319
HONG KONG,111150,807,96,219,10101840
"KOREA, SOUTH",111150,807,113,236,516323369
SINT MAARTEN,111150,803,185,308,51837
ST KITTS AND NEVIS,111150,803,195,318,70818
ST LUCIA,111150,803,196,319,825357
ST VINCENT AND THE GRENADINES,111150,803,198,321,2882211
TAIWAN,111150,807,205,328,268934346
CURACAO,111160,803,55,178,2503
"KOREA, SOUTH",111160,807,113,236,15478
ST VINCENT AND THE GRENADINES,111160,803,198,321,3429
CURACAO,111199,803,55,178,132669
HONG KONG,111199,807,96,219,2648269
"KOREA, SOUTH",111199,807,113,236,8550537
RUSSIA,111199,804,174,297,361320
SINT MAARTEN,111199,803,185,308,72961
SOUTH SUDAN,111199,805,191,314,13361177
ST KITTS AND NEVIS,111199,803,195,318,89057
ST LUCIA,111199,803,196,319,184911
ST VINCENT AND THE GRENADINES,111199,803,198,321,20046
TAIWAN,111199,807,205,328,1424443
COCOS (KEELING) ISLANDS,111211,808,45,168,26127
CURACAO,111211,803,55,178,25080
FRENCH POLYNESIA,111211,808,76,199,855272
GUADELOUPE,111211,803,88,211,3079
HONG KONG,111211,807,96,219,2316154
"KOREA, SOUTH",111211,807,113,236,15739434
RUSSIA,111211,804,174,297,25631
SINT MAARTEN,111211,803,185,308,284359
ST KITTS AND NEVIS,111211,803,195,318,22714
ST LUCIA,111211,803,196,319,227792
