Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USImpVal
AFGHANISTAN,111120,806,1,124,80365
AFGHANISTAN,111130,806,1,124,31716
AFGHANISTAN,111334,806,1,124,21509
AFGHANISTAN,111335,806,1,124,772603
AFGHANISTAN,111339,806,1,124,1088888
AFGHANISTAN,111998,806,1,124,2100
AFGHANISTAN,212399,806,1,124,2130
AFGHANISTAN,311221,806,1,124,3360
AFGHANISTAN,311230,806,1,124,6699
AFGHANISTAN,311340,806,1,124,159725
AFGHANISTAN,311411,806,1,124,10019
AFGHANISTAN,311421,806,1,124,588143
AFGHANISTAN,311422,806,1,124,6550
AFGHANISTAN,311423,806,1,124,4003319
AFGHANISTAN,311513,806,1,124,11523
AFGHANISTAN,311514,806,1,124,3393
AFGHANISTAN,311911,806,1,124,819738
AFGHANISTAN,311920,806,1,124,3010
AFGHANISTAN,311941,806,1,124,90900
AFGHANISTAN,311942,806,1,124,1474261
AFGHANISTAN,311999,806,1,124,5156
AFGHANISTAN,312111,806,1,124,122375
AFGHANISTAN,312230,806,1,124,360511
AFGHANISTAN,314110,806,1,124,7991681
AFGHANISTAN,314120,806,1,124,53380
AFGHANISTAN,314999,806,1,124,1835
AFGHANISTAN,315220,806,1,124,8894
AFGHANISTAN,315240,806,1,124,34022
AFGHANISTAN,315990,806,1,124,22904
AFGHANISTAN,316210,806,1,124,4239.99999576
AFGHANISTAN,316992,806,1,124,8610.999991389
AFGHANISTAN,316998,806,1,124,736.999999263
AFGHANISTAN,321999,806,1,124,16343.999983656
AFGHANISTAN,323111,806,1,124,19614
AFGHANISTAN,325194,806,1,124,2755
AFGHANISTAN,325211,806,1,124,3381
AFGHANISTAN,325220,806,1,124,900
AFGHANISTAN,326199,806,1,124,60289
AFGHANISTAN,326211,806,1,124,186699
AFGHANISTAN,326220,806,1,124,978
AFGHANISTAN,327991,806,1,124,11875
AFGHANISTAN,331420,806,1,124,12539
AFGHANISTAN,332215,806,1,124,63216.999936783
AFGHANISTAN,332439,806,1,124,16804
AFGHANISTAN,332510,806,1,124,7681
AFGHANISTAN,332613,806,1,124,2269
AFGHANISTAN,332722,806,1,124,14031
AFGHANISTAN,332911,806,1,124,3680
AFGHANISTAN,333914,806,1,124,2260
AFGHANISTAN,333992,806,1,124,5731
AFGHANISTAN,334111,806,1,124,2400
AFGHANISTAN,334220,806,1,124,10461
AFGHANISTAN,334310,806,1,124,7615
AFGHANISTAN,334418,806,1,124,7889
AFGHANISTAN,334515,806,1,124,6580
AFGHANISTAN,335313,806,1,124,65452
AFGHANISTAN,335314,806,1,124,6517
AFGHANISTAN,335999,806,1,124,2969
AFGHANISTAN,337121,806,1,124,961
AFGHANISTAN,337127,806,1,124,906
AFGHANISTAN,339910,806,1,124,3128023
AFGHANISTAN,339991,806,1,124,1310
AFGHANISTAN,339999,806,1,124,9300
ALBANIA,111130,804,2,125,19866
ALBANIA,111219,804,2,125,850721
ALBANIA,111339,804,2,125,76323
ALBANIA,111422,804,2,125,64086
ALBANIA,111910,804,2,125,862288
ALBANIA,111998,804,2,125,15427028
ALBANIA,112910,804,2,125,9133
ALBANIA,113210,804,2,125,113660
ALBANIA,114112,804,2,125,60012
ALBANIA,211130,804,2,125,39553.999960446
ALBANIA,212311,804,2,125,2240
ALBANIA,212393,804,2,125,6726
ALBANIA,311211,804,2,125,15072
ALBANIA,311212,804,2,125,28542
ALBANIA,311221,804,2,125,2975
ALBANIA,311224,804,2,125,431347
ALBANIA,311340,804,2,125,17003
ALBANIA,311351,804,2,125,3182.82704144982
ALBANIA,311352,804,2,125,21073.1729585502
ALBANIA,311411,804,2,125,12130
ALBANIA,311421,804,2,125,471083
ALBANIA,311423,804,2,125,691778
ALBANIA,311511,804,2,125,11646
ALBANIA,311513,804,2,125,928777
ALBANIA,311710,804,2,125,23268
ALBANIA,311811,804,2,125,45436.3831064297
ALBANIA,311812,804,2,125,42751.8736152622
ALBANIA,311813,804,2,125,2433.74327830806
ALBANIA,311824,804,2,125,14743
ALBANIA,311919,804,2,125,12301
ALBANIA,311920,804,2,125,1205173
ALBANIA,311941,804,2,125,65621
ALBANIA,311942,804,2,125,939134
ALBANIA,311991,804,2,125,2350
ALBANIA,311999,804,2,125,24887
ALBANIA,312111,804,2,125,492607
ALBANIA,312112,804,2,125,19779
ALBANIA,312113,804,2,125,2210
ALBANIA,312130,804,2,125,14112
ALBANIA,313210,804,2,125,5356
ALBANIA,313230,804,2,125,1435
ALBANIA,313240,804,2,125,551
ALBANIA,314120,804,2,125,52334
ALBANIA,314910,804,2,125,411
ALBANIA,314999,804,2,125,107939
ALBANIA,315110,804,2,125,3965
ALBANIA,315190,804,2,125,21353
ALBANIA,315220,804,2,125,6284150
ALBANIA,315240,804,2,125,5449596
ALBANIA,315280,804,2,125,345957
ALBANIA,315990,804,2,125,366231
ALBANIA,316110,804,2,125,6798.999993201
ALBANIA,316210,804,2,125,7080315.99291968
ALBANIA,316992,804,2,125,23624.999976375
ALBANIA,316998,804,2,125,457152.999542847
ALBANIA,321219,804,2,125,2857
ALBANIA,321911,804,2,125,91765
ALBANIA,321999,804,2,125,80742.999919257
ALBANIA,322211,804,2,125,33698
ALBANIA,322212,804,2,125,390695
ALBANIA,322220,804,2,125,802443
ALBANIA,322230,804,2,125,44536
ALBANIA,322291,804,2,125,174780
ALBANIA,323117,804,2,125,17615
ALBANIA,325199,804,2,125,2067170
ALBANIA,325311,804,2,125,202507
ALBANIA,325411,804,2,125,4537449
ALBANIA,325412,804,2,125,8796
ALBANIA,325413,804,2,125,2096
ALBANIA,325620,804,2,125,123913
ALBANIA,326111,804,2,125,20094
ALBANIA,326121,804,2,125,4079
ALBANIA,326199,804,2,125,190417
ALBANIA,326299,804,2,125,9828
ALBANIA,327110,804,2,125,19977
ALBANIA,327120,804,2,125,22150
ALBANIA,327212,804,2,125,25994
ALBANIA,327215,804,2,125,628569
ALBANIA,327991,804,2,125,76772
ALBANIA,331110,804,2,125,65908319
ALBANIA,331315,804,2,125,6568
