Origin,Destination,Time
1,1,0.067
1,2,0.198
1,3,0.355
1,4,0.496
1,5,0.598
1,6,0.135
1,7,0.224
1,8,0.316
1,9,0.416
1,10,0.553
1,11,0.642
1,12,0.509
1,13,0.619
1,14,0.72
1,15,0.674
1,16,0.748
1,17,0.822
1,18,0.75
1,19,0.882
1,20,0.942
1,21,0.881
1,22,0.886
1,23,1.004
1,24,1.124
1,25,1.019
1,26,1.094
1,27,1.233
1,28,1.229
1,29,1.383
1,30,0.925
1,31,0.821
1,32,0.744
1,33,0.687
1,34,0.863
1,35,0.636
1,36,0.596
1,37,0.514
1,38,0.7
1,39,0.588
1,40,0.445
1,41,0.36
1,42,0.66
1,43,0.594
1,44,0.375
1,45,0.22
1,46,0.845
1,47,0.813
1,48,0.826
1,49,0.912
1,50,0.495
1,51,0.666
1,52,0.674
1,53,0.82
1,54,0.353
1,55,0.496
1,56,0.504
1,57,0.613
1,58,0.186
1,59,0.246
1,60,0.37
1,61,0.512
1,62,0.539
1,63,0.406
1,64,0.251
1,65,0.64
1,66,0.583
1,67,0.343
1,68,0.73
1,69,0.582
1,70,0.497
1,71,0.814
1,72,0.741
1,73,0.516
1,74,0.89
1,75,0.864
1,76,0.659
1,77,0.266
1,78,0.342
1,79,0.453
1,80,0.423
1,81,0.489
1,82,0.568
1,83,0.544
1,84,0.694
1,85,0.785
1,86,0.834
1,87,0.682
1,88,0.838
1,89,0.814
1,90,0.974
1,91,1.001
1,92,0.949
1,93,1.012
1,94,1.133
1,95,1.176
1,96,1.168
1,97,1.144
1,98,1.234
1,99,1.348
1,100,1.406
1,101,1.478
1,102,1.216
1,103,1.374
1,104,1.508
1,105,1.514
1,106,1.676
1,107,1.605
1,108,1.385
1,109,1.479
1,110,1.05
1,111,0.938
1,112,0.772
1,113,1.084
1,114,0.986
1,115,0.924
1,116,1.267
1,117,1.118
1,118,1.043
1,119,1.45
1,120,1.029
1,121,1.03
1,122,1.757
1,123,1.417
1,124,1.35
1,125,1.499
1,126,1.625
1,127,1.655
1,128,1.915
1,129,2.23
1,130,0.948
1,131,1.192
1,132,1.156
2,1,0.198
2,2,0.067
2,3,0.17
2,4,0.311
2,5,0.413
2,6,0.27
2,7,0.153
2,8,0.245
2,9,0.307
2,10,0.445
2,11,0.534
2,12,0.431
2,13,0.542
2,14,0.628
2,15,0.603
2,16,0.671
2,17,0.745
2,18,0.679
2,19,0.806
2,20,0.866
2,21,0.81
2,22,0.815
2,23,0.932
2,24,1.048
2,25,0.948
2,26,1.023
2,27,1.161
2,28,1.158
2,29,1.312
2,30,1.036
2,31,0.932
2,32,0.855
2,33,0.672
2,34,0.974
2,35,0.746
2,36,0.704
2,37,0.574
2,38,0.811
2,39,0.699
2,40,0.556
2,41,0.439
2,42,0.831
2,43,0.766
2,44,0.559
2,45,0.403
2,46,0.81
2,47,0.707
2,48,0.72
2,49,0.806
2,50,0.468
2,51,0.563
2,52,0.568
2,53,0.715
2,54,0.326
2,55,0.39
2,56,0.398
2,57,0.508
2,58,0.218
2,59,0.14
2,60,0.264
2,61,0.406
2,62,0.71
2,63,0.578
2,64,0.422
2,65,0.812
2,66,0.755
2,67,0.514
2,68,0.865
2,69,0.717
2,70,0.653
2,71,0.95
2,72,0.877
2,73,0.652
2,74,1.025
2,75,1
2,76,0.794
2,77,0.402
2,78,0.278
2,79,0.381
2,80,0.558
2,81,0.504
2,82,0.497
2,83,0.68
2,84,0.629
2,85,0.714
2,86,0.77
2,87,0.817
2,88,0.773
2,89,0.95
2,90,0.909
2,91,0.936
2,92,1.084
2,93,1.036
2,94,1.085
2,95,1.105
2,96,1.292
2,97,1.167
2,98,1.257
2,99,1.277
2,100,1.334
2,101,1.406
2,102,1.352
2,103,1.435
2,104,1.499
2,105,1.454
2,106,1.604
2,107,1.534
2,108,1.521
2,109,1.54
2,110,1.186
2,111,1.073
2,112,0.908
2,113,1.22
2,114,1.121
2,115,1.059
2,116,1.402
2,117,1.253
2,118,1.178
2,119,1.585
2,120,1.164
2,121,1.165
2,122,1.697
2,123,1.552
2,124,1.522
2,125,1.634
2,126,1.76
2,127,1.578
