NAICS3,ProdFactor
111,1
112,1
113,1
114,1
115,1
211,1
212,1
213,1
221,1
236,1
237,1
238,1
311,1
312,1
313,1
314,1
315,1
316,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
339,1
423,1
424,1
425,1
441,1
444,1
445,1
446,1
447,1
448,1
452,1
454,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
491,1
492,1
493,1
442,1
443,1
451,1
453,1
511,1
512,1
515,1
517,1
518,1
519,1
522,1
523,1
524,1
525,1
521,1
531,1
532,1
533,1
541,1
551,1
561,1
562,1
611,1
621,1
622,1
623,1
624,1
711,1
712,1
713,1
721,1
722,1
811,1
812,1
813,1
814,1
920,1
